name,paper_modulus_mae,chi2_modulus,real_amp_ssim,r_factor_free,llk_free,chi2_free,inference_ms,pearson_corr,pearson_loss,real_amp_global_ssim,real_amp_l1,real_amp_mse,real_amp_rel_l1,real_amp_rmse,real_phase_l1_true_support,real_phase_mae_intersection,real_phase_mae_true_support,real_phase_mse_true_support,real_phase_rel_l1_true_support,real_phase_rmse_true_support,real_support_dice,real_support_iou,real_support_l1,real_support_mse,real_support_pred_fraction,real_support_rel_l1,real_support_rmse,real_support_true_fraction,real_support_volume_ratio,relative_l1_modulus,relative_log_mse,voxel_mse,voxel_rmse
val_diff_000000,3.187300443649292,0.005382844712585211,0.9789212942123413,0.2792021334171295,132.63076782226562,0.006600202992558479,7.214072227478027,0.9972701668739319,0.0027298331260681152,0.9754310846328735,0.0026276474818587303,0.0010013992432504892,0.09585478156805038,0.03164505213499069,0.13806317746639252,0.08626966178417206,0.13806317746639252,0.11465368419885635,0.14105868339538574,0.33860552310943604,0.9620484709739685,0.9268722534179688,0.002849578857421875,0.002849578857421875,0.037326812744140625,0.07546979188919067,0.0533815398812294,0.03775787353515625,0.9885835647583008,0.27002885937690735,0.10913292318582535,29.528255462646484,5.433990955352783
val_diff_000001,3.0367939472198486,0.0037347697652876377,0.8964112401008606,0.24789848923683167,116.8031997680664,0.009930183179676533,7.214072227478027,0.9981347322463989,0.0018652677536010742,0.7564324736595154,0.017532598227262497,0.013639393262565136,0.557205319404602,0.1167878583073616,0.21011245250701904,0.09302042424678802,0.21011245250701904,0.10675191879272461,0.5727553963661194,0.3267291188240051,0.7203572392463684,0.5629361867904663,0.020305633544921875,0.020305633544921875,0.036396026611328125,0.5606698989868164,0.14249786734580994,0.03621673583984375,1.0049505233764648,0.22800908982753754,0.09044568985700607,28.193357467651367,5.309741973876953
val_diff_000002,3.6390457153320312,0.01720178686082363,0.9369499087333679,0.3414677083492279,185.40109252929688,0.0208328515291214,7.214072227478027,0.9917072057723999,0.008292794227600098,0.7607331871986389,0.007616902701556683,0.004787181969732046,0.5864732265472412,0.06918953359127045,0.6138695478439331,0.28856128454208374,0.6138695478439331,0.9442225098609924,0.482798308134079,0.9717110991477966,0.7262630462646484,0.5701829195022583,0.00959014892578125,0.00959014892578125,0.01766204833984375,0.5520421862602234,0.09792935848236084,0.01737213134765625,1.016688585281372,0.33157482743263245,0.11512259393930435,46.272830963134766,6.802413463592529
val_diff_000003,4.171467304229736,0.011405929923057556,0.9841160178184509,0.32603952288627625,246.52157592773438,0.01633092574775219,7.214072227478027,0.9942191243171692,0.0057808756828308105,0.9772385954856873,0.002699906937777996,0.0008953785290941596,0.12309659272432327,0.02992304414510727,0.0982479378581047,0.0781984031200409,0.0982479378581047,0.04108438268303871,0.13771851360797882,0.20269285142421722,0.9520487189292908,0.9084855914115906,0.00246429443359375,0.00246429443359375,0.0262908935546875,0.09817629307508469,0.04964176192879677,0.0251007080078125,1.0474164485931396,0.3163633644580841,0.11303453147411346,60.65265655517578,7.7879815101623535
val_diff_000004,2.999591588973999,0.013322082348167896,0.9463188052177429,0.3046519458293915,104.19586181640625,0.0199626162648201,7.214072227478027,0.992978036403656,0.007021963596343994,0.6774348020553589,0.006213521584868431,0.004762893542647362,0.7517942190170288,0.06901378929615021,0.2765897214412689,0.1695350855588913,0.2765897214412689,0.14308881759643555,0.7796981930732727,0.37827083468437195,0.6281360387802124,0.4578704833984375,0.007633209228515625,0.007633209228515625,0.01030731201171875,0.7469204664230347,0.08736829459667206,0.010219573974609375,1.0085853338241577,0.2883853018283844,0.0975671336054802,25.000041961669922,5.000004291534424
val_diff_000005,3.2299370765686035,0.006954636890441179,0.992576539516449,0.29543420672416687,170.49935913085938,0.008863781578838825,7.214072227478027,0.9965404868125916,0.0034595131874084473,0.9921501278877258,0.001595834968611598,0.0002829265140462667,0.06242857873439789,0.016820717602968216,0.11496832221746445,0.05816517397761345,0.11496832221746445,0.10452140867710114,0.1238853856921196,0.3232977092266083,0.9775170087814331,0.9560227394104004,0.00156402587890625,0.00156402587890625,0.03415679931640625,0.044171515852212906,0.03954789415001869,0.03540802001953125,0.9646627902984619,0.2840333878993988,0.11656241863965988,35.95731735229492,5.996441841125488
val_diff_000006,3.0943782329559326,0.005884458310902119,0.9976142048835754,0.2506541609764099,109.02090454101562,0.007791080512106419,7.214072227478027,0.9972261786460876,0.0027738213539123535,0.9959433078765869,0.0009682936943136156,0.0001232465438079089,0.04990069940686226,0.011102096177637577,0.036827124655246735,0.03486243635416031,0.036827124655246735,0.004449397791177034,0.16392891108989716,0.06670387834310532,0.984457790851593,0.9693912863731384,0.00067138671875,0.00067138671875,0.021610260009765625,0.03110090084373951,0.025911323726177216,0.021587371826171875,1.0010602474212646,0.23813650012016296,0.08636872470378876,28.395057678222656,5.328701496124268
val_diff_000007,3.469235897064209,0.009003685787320137,0.9908189177513123,0.2979521155357361,185.24209594726562,0.01648414134979248,7.214072227478027,0.9953886270523071,0.004611372947692871,0.9864404201507568,0.0017613181844353676,0.0004412087728269398,0.09289956092834473,0.021005207672715187,0.06261659413576126,0.046573251485824585,0.06261659413576126,0.024532578885555267,0.13553287088871002,0.15662881731987,0.9612222909927368,0.9253396987915039,0.001781463623046875,0.001781463623046875,0.02330780029296875,0.07871228456497192,0.0422075055539608,0.022632598876953125,1.0298330783843994,0.28475016355514526,0.10291237384080887,39.74624252319336,6.30446195602417
val_diff_000008,3.631511688232422,0.007717681583017111,0.9897863268852234,0.28230369091033936,171.53314208984375,0.007458144798874855,7.214072227478027,0.9961422681808472,0.003857731819152832,0.9861568212509155,0.0017823332455009222,0.0005458802916109562,0.07848094403743744,0.023364296182990074,0.06940562278032303,0.04667951911687851,0.06940562278032303,0.022543830797076225,0.17423047125339508,0.15014606714248657,0.9663572311401367,0.9349044561386108,0.001728057861328125,0.001728057861328125,0.025470733642578125,0.0667354166507721,0.041570037603378296,0.0258941650390625,0.9836475849151611,0.27238133549690247,0.09391586482524872,42.467323303222656,6.516695499420166
val_diff_000009,3.25510311126709,0.00511463126167655,0.9929713606834412,0.2604873478412628,153.1028289794922,0.008306888863444328,7.214072227478027,0.9975247383117676,0.002475261688232422,0.9925408363342285,0.0014302334748208523,0.0003539054887369275,0.04907481372356415,0.018812641501426697,0.045904576778411865,0.03991858661174774,0.045904576778411865,0.005992798134684563,0.17348429560661316,0.07741323113441467,0.9853782653808594,0.9711779356002808,0.000965118408203125,0.000965118408203125,0.03267669677734375,0.0289573073387146,0.031066516414284706,0.033329010009765625,0.9804280400276184,0.2468688040971756,0.09824041277170181,36.0294303894043,6.0024518966674805
