threshold,num_samples,real_amp_l1,real_amp_ssim,real_support_iou,real_support_dice,real_support_volume_ratio,real_phase_mae_true_support
0.05,5000,0.014050942197232507,0.7022011400341988,0.18476190121620895,0.30869343353807926,5.7422679271698,1.3755112540632486
0.075,5000,0.009678292440483346,0.8378839825570583,0.3478333978921175,0.5109813013017177,2.962424700665474,1.0291122735485434
0.1,5000,0.007605103102873545,0.897686422085762,0.48987734501063823,0.6529258232355117,2.0534049171447752,0.7066917947933078
0.125,5000,0.006481977457448374,0.9272444813966751,0.5993914409935475,0.745703641229868,1.6511244814157486,0.4998345826074481
0.15,5000,0.0057760774304508235,0.9437129853248596,0.6805377390444278,0.8067835399031639,1.433766695189476,0.37807114535570147
0.2,5000,0.004966031333734282,0.9599321289658547,0.7797141717553139,0.8740586211323738,1.2210395493507384,0.26503840300291776
0.25,5000,0.004543422406888567,0.9667591010570526,0.8271393452763558,0.9037141087532043,1.1310075325727462,0.22487963659763335
