threshold,num_samples,real_amp_l1,real_amp_ssim,real_support_iou,real_support_dice,real_support_volume_ratio,real_phase_mae_true_support
0.05,5000,0.01334622856383212,0.7139551187962294,0.19489452387988568,0.3227600606918335,5.441042604589462,1.388035035559535
0.075,5000,0.00912989819245413,0.8489050571143627,0.36756373013854027,0.5323921732127667,2.792860179901123,0.9730527730420232
0.1,5000,0.007228678063070402,0.9059849820256233,0.513093322005868,0.6735843769133091,1.9570639329910278,0.6495671528801322
0.125,5000,0.006209723190427758,0.9332562094211578,0.6212402492523194,0.7625263390362262,1.5931485800027847,0.4556150758802891
0.15,5000,0.005572803288453724,0.9480350654125214,0.6990526402652264,0.8196859421610833,1.3971167952299117,0.3471982190385461
0.175,5000,0.005142760268843267,0.9568167528510094,0.7545127165496349,0.8574246384978295,1.2769171308279037,0.2867547624722123
0.2,5000,0.004850266007339814,0.9622046692490578,0.7913259181857109,0.8812316896915435,1.2056527676343918,0.24953254046589135
0.225,5000,0.004637624869099818,0.9657015203356742,0.8166856005370617,0.8971180847644806,1.1576561287164688,0.22833061203807592
0.25,5000,0.004482476310234051,0.9679699073314667,0.8336487394928932,0.9075043765306473,1.1251030993461608,0.21547786553055048
0.275,5000,0.004359585632238304,0.9695664544463157,0.846006411755085,0.9149749254465103,1.0976632492899894,0.2086880821749568
0.3,5000,0.004268058218481019,0.9706028567314148,0.8541459005117417,0.9198496345043182,1.0760394077420234,0.20465763730555772
0.35,5000,0.0041528951939195395,0.9716391891479492,0.8631515682458878,0.9252369839906692,1.0438013051986694,0.20203936909735204
0.4,5000,0.004104533952323255,0.9716653726577759,0.8636333363771439,0.9255962609648705,1.0356916425704956,0.19665592331886292
