name,paper_modulus_mae,chi2_modulus,real_amp_ssim,r_factor_free,llk_free,chi2_free,inference_ms,pearson_corr,pearson_loss,real_amp_global_ssim,real_amp_l1,real_amp_mse,real_amp_rel_l1,real_amp_rmse,real_phase_l1_true_support,real_phase_mae_intersection,real_phase_mae_true_support,real_phase_mse_true_support,real_phase_rel_l1_true_support,real_phase_rmse_true_support,real_support_dice,real_support_iou,real_support_l1,real_support_mse,real_support_pred_fraction,real_support_rel_l1,real_support_rmse,real_support_true_fraction,real_support_volume_ratio,relative_l1_modulus,relative_log_mse,voxel_mse,voxel_rmse
val_diff_000000,3.8130929470062256,0.013527018018066883,0.9437316656112671,0.33257555961608887,350.258056640625,0.01755257323384285,6.515632152557373,0.9931125044822693,0.006887495517730713,0.9329015612602234,0.00767054408788681,0.0027085065376013517,0.279816210269928,0.05204341188073158,0.3586699962615967,0.30827102065086365,0.3586699962615967,0.24490873515605927,0.3664519488811493,0.4948825538158417,0.8694080114364624,0.7689847350120544,0.010746002197265625,0.010746002197265625,0.044528961181640625,0.28460294008255005,0.10366297513246536,0.03775787353515625,1.1793291568756104,0.32304614782333374,0.11978539824485779,74.20411682128906,8.614181518554688
val_diff_000001,4.327182769775391,0.02264469861984253,0.9321441054344177,0.3489362895488739,663.2727661132812,0.05981675535440445,6.515632152557373,0.9897871613502502,0.010212838649749756,0.9092167615890503,0.01082528941333294,0.004800360184162855,0.3440396189689636,0.06928469985723495,0.3814186751842499,0.3637288510799408,0.3814186751842499,0.21003158390522003,1.0397270917892456,0.45829203724861145,0.8554251194000244,0.7473737001419067,0.01155853271484375,0.01155853271484375,0.043731689453125,0.3191489279270172,0.10751066356897354,0.03621673583984375,1.2074995040893555,0.3248942792415619,0.11627625674009323,170.94229125976562,13.074490547180176
val_diff_000002,3.8916752338409424,0.02639300562441349,0.966316282749176,0.36644476652145386,310.1226806640625,0.03374672681093216,6.515632152557373,0.9864640831947327,0.013535916805267334,0.9307694435119629,0.004178517032414675,0.0013735444517806172,0.3217303156852722,0.03706149384379387,0.4105333685874939,0.38687360286712646,0.4105333685874939,0.26763099431991577,0.3228777348995209,0.5173306465148926,0.8568413257598877,0.7495383620262146,0.0056915283203125,0.0056915283203125,0.0223846435546875,0.32762405276298523,0.07544228434562683,0.01737213134765625,1.2885375022888184,0.3545933663845062,0.11819532513618469,70.99722290039062,8.425985336303711
val_diff_000003,4.415382385253906,0.019385265186429024,0.9541581273078918,0.34792575240135193,420.0334777832031,0.029101284220814705,6.515632152557373,0.9900211691856384,0.009978830814361572,0.9200429320335388,0.006763942539691925,0.0031331900972872972,0.30838775634765625,0.055974993854761124,0.38535276055336,0.3680264353752136,0.38535276055336,0.21915677189826965,0.5401661396026611,0.4681418538093567,0.8492122888565063,0.7379400134086609,0.008434295654296875,0.008434295654296875,0.030834197998046875,0.33601823449134827,0.09183847904205322,0.0251007080078125,1.2284194231033325,0.3348618447780609,0.10877269506454468,103.08390808105469,10.153024673461914
val_diff_000004,3.622798442840576,0.029191290959715843,0.9706994295120239,0.3683033287525177,240.16217041015625,0.045753467828035355,6.515632152557373,0.9848664999008179,0.015133500099182129,0.8913084268569946,0.003674820065498352,0.001516904216259718,0.44462844729423523,0.03894758224487305,0.46765634417533875,0.4617473781108856,0.46765634417533875,0.3226630389690399,1.3183093070983887,0.5680343508720398,0.8109367489814758,0.6819963455200195,0.004642486572265625,0.004642486572265625,0.01433563232421875,0.4542739689350128,0.06813586503267288,0.010219573974609375,1.4027621746063232,0.34830138087272644,0.11751776188611984,54.77998733520508,7.401350498199463
val_diff_000005,3.8193652629852295,0.013103526085615158,0.9529294371604919,0.3496512472629547,307.58984375,0.01585550792515278,6.515632152557373,0.9933674335479736,0.006632566452026367,0.9404893517494202,0.006642539985477924,0.002279415726661682,0.25985413789749146,0.047743331640958786,0.31068065762519836,0.28141310811042786,0.31068065762519836,0.16356253623962402,0.3347773551940918,0.4044286608695984,0.8851465582847595,0.7939577698707581,0.008819580078125,0.008819580078125,0.0413818359375,0.2490842491388321,0.09391267597675323,0.03540802001953125,1.1687136888504028,0.33586636185646057,0.1318565309047699,67.74870300292969,8.23095989227295
val_diff_000006,4.078784465789795,0.021048495545983315,0.9633925557136536,0.330890029668808,389.73419189453125,0.027644513174891472,6.515632152557373,0.9900624752044678,0.009937524795532227,0.9355387091636658,0.005454566795378923,0.002238985151052475,0.2810993194580078,0.047318022698163986,0.354410320520401,0.3536984324455261,0.354410320520401,0.18338541686534882,1.5775898694992065,0.42823526263237,0.8560454845428467,0.7483212351799011,0.00714874267578125,0.00714874267578125,0.028072357177734375,0.33115389943122864,0.08455029875040054,0.021587371826171875,1.3004064559936523,0.31389421224594116,0.10656531900167465,101.56809997558594,10.078100204467773
val_diff_000007,4.0579328536987305,0.01931389980018139,0.9666438102722168,0.34143245220184326,303.8086853027344,0.027960408478975296,6.515632152557373,0.9904654026031494,0.009534597396850586,0.9431487321853638,0.004652179777622223,0.001837254036217928,0.24537613987922668,0.04286331683397293,0.3429502844810486,0.33491232991218567,0.3429502844810486,0.17201443016529083,0.7423117756843567,0.4147462546825409,0.8835839629173279,0.7914468050003052,0.00572967529296875,0.00572967529296875,0.026584625244140625,0.253160297870636,0.07569468021392822,0.022632598876953125,1.1746165752410889,0.3330696225166321,0.11158982664346695,85.26007843017578,9.233638763427734
val_diff_000008,4.058892250061035,0.013533940538764,0.9548078775405884,0.31345123052597046,429.87445068359375,0.016881490126252174,6.515632152557373,0.9931246638298035,0.006875336170196533,0.9251163601875305,0.006379844155162573,0.0030377190560102463,0.2809217572212219,0.05511559545993805,0.3254442811012268,0.3159770667552948,0.3254442811012268,0.15376853942871094,0.8169699907302856,0.39213332533836365,0.8622635006904602,0.7578763365745544,0.007915496826171875,0.007915496826171875,0.031574249267578125,0.30568650364875793,0.08896913379430771,0.0258941650390625,1.2193577289581299,0.30443698167800903,0.10287876427173615,74.47187805175781,8.629709243774414
val_diff_000009,4.144121170043945,0.018302105367183685,0.9340602159500122,0.3358113765716553,653.3175048828125,0.03308204561471939,6.515632152557373,0.9912211894989014,0.008778810501098633,0.9059695601463318,0.010300404392182827,0.004752747248858213,0.3534321188926697,0.06894024461507797,0.3115999102592468,0.30671507120132446,0.3115999102592468,0.14714480936527252,1.1776100397109985,0.3835946023464203,0.8448249101638794,0.7313393354415894,0.011547088623046875,0.011547088623046875,0.04108428955078125,0.3464576005935669,0.10745742917060852,0.033329010009765625,1.232688546180725,0.31429243087768555,0.11468001455068588,128.9270782470703,11.354605674743652
