calibration_support_dice_mean,calibration_support_iou_mean,calibration_support_precision_mean,calibration_support_recall_mean,calibration_support_volume_ratio_mean,calibration_wrapped_phase_mae_rad_mean,evaluation_support_dice_mean,evaluation_support_iou_mean,evaluation_support_precision_mean,evaluation_support_recall_mean,evaluation_support_volume_ratio_mean,evaluation_wrapped_phase_mae_rad_mean,threshold
0.716733617435416,0.5634011236053306,0.6883137337732619,0.7872172332604049,1.1851336748357135,0.9682475585076544,0.7046584140713962,0.5492112118831822,0.6771069906595114,0.7753485442633927,1.2079410076423303,1.0171891724069912,0.125
0.7197051645780909,0.5674064754458261,0.7033235774083454,0.775537174162127,1.1408964158338337,0.9653514929943614,0.708201154976881,0.5536186563868113,0.6944312844309086,0.7628755748013809,1.1554179245769411,1.014936505092515,0.13
0.7216661216927155,0.5702707053775714,0.7178097283244727,0.7635932725499093,1.0992637683697999,0.9619209642211596,0.7107601149700459,0.5569356129416568,0.7105809125436161,0.750712076552408,1.1080432291772253,1.012859947151608,0.135
0.7228961081068587,0.5723163130809289,0.7319162531493384,0.7514870241081039,1.0595504864536518,0.9580779530935817,0.7120019677786127,0.5587921790521574,0.7259122319180973,0.7381676771685912,1.0643582898249944,1.0103821472989187,0.14
0.7232071716739257,0.5732646336462891,0.7449584873912458,0.7395026107488155,1.022991871833099,0.9552714121010568,0.7125890914172036,0.559908854422718,0.7406904227060491,0.7258343467143964,1.0236263205368639,1.0075063266687923,0.145
0.7227046300221877,0.5732524261743102,0.7573677641048181,0.7276472519302252,0.9891122627668061,0.9515119070808092,0.7122200798989602,0.5599547495805689,0.7546234518015811,0.7134636960808848,0.9860211543493461,1.0051576693852742,0.15
0.7216000067955429,0.5725968423805852,0.7692675890936197,0.71566121636551,0.956645462232482,0.948039618631204,0.7109658843152747,0.5589555482042801,0.7675061381970539,0.7010210043695484,0.9510580357193997,1.0030532346831427,0.155
0.719990961412496,0.571279261340639,0.7804525874301399,0.704038467209627,0.9266908895733335,0.9449033497108353,0.7088780713410726,0.5570259606523468,0.779790387986425,0.6884876478703473,0.9181404087673071,1.0009996278418436,0.16
0.7177752721216257,0.5692999558207279,0.7910457055360185,0.6926729856064656,0.8988155345070505,0.9417819380760193,0.7066534080150342,0.5549840149742584,0.791740041756571,0.6765136239678368,0.8872430640192588,0.9988627682129542,0.165
0.7153393583003621,0.567068881650374,0.8013085279380644,0.6815596160176806,0.872297706232266,0.9391280164321264,0.7035175096691503,0.551892904905156,0.8029876598326725,0.6642221437524992,0.8579235233253593,0.9967157948348258,0.17
0.7122524443620428,0.5640692967397589,0.810947362697251,0.6703822616029204,0.8471502896488904,0.9367215741011832,0.6997694979726163,0.5481936475673115,0.8134127905057563,0.6522677387092308,0.8307919573347865,0.9944410572449366,0.175
