amplitude_mae,amplitude_nrmse,amplitude_scale,center_shift_voxels,index,name,phase_offset_rad,phase_type,phase_wca,phase_wca_direct,phase_wca_inverted,shape_phase,shape_type,split,support_dice,support_iou,support_precision,support_recall,support_volume_ratio,threshold,twin_flip_selected,wrapped_phase_mae_rad
0.05467390641570091,0.13841663300991058,5.5314563441502,"[0, 0, 0]",36,sample_00036.npz,-2.091334581375122,double_gaussian,0.9800312407314777,0.9800312407314777,0.9963980345055461,wulff/double_gaussian,wulff,evaluation,0.576062410182714,0.40455594002306805,0.7655511094943616,0.461766319253977,0.6031815688425672,0.15,False,1.0336670875549316
0.0634303167462349,0.13255831599235535,17.54970136090918,"[0, 0, 0]",37,sample_00037.npz,-2.662785768508911,double_cosine,0.9678215868771076,0.9678215868771076,0.9895293051376939,wulff/double_cosine,wulff,evaluation,0.700594763627445,0.5391657229143073,0.9307592049527533,0.5616950152394061,0.603480483728247,0.15,False,1.5013633966445923
0.058633532375097275,0.11939714848995209,4.709823673753739,"[-1, 0, 1]",38,sample_00038.npz,-2.5219643115997314,gaussian_correlated,0.9772004000842571,0.980918001383543,0.9772004000842571,wulff/gaussian_correlated,wulff,evaluation,0.6755569501098212,0.5100687040985549,0.6915047374337562,0.6603281705259929,0.9549148903542402,0.15,True,1.3360134363174438
0.061704762279987335,0.1303097903728485,32.7780664315861,"[1, 0, 1]",39,sample_00039.npz,0.19943676888942719,double_gaussian,0.929909884929657,0.929909884929657,0.9320514425635338,winterbottom/double_gaussian,winterbottom,evaluation,0.7457812244006335,0.5946181311503962,0.8280378365268009,0.6783904619970194,0.8192747143566815,0.15,False,0.9528730511665344
0.03492139279842377,0.09428997337818146,2.9642156968152555,"[2, -1, 0]",40,sample_00040.npz,-2.110145330429077,double_cosine,0.9802654180675745,0.9802654180675745,0.9850338688120246,winterbottom/double_cosine,winterbottom,evaluation,0.658908507223114,0.49132256134051466,0.7896761782622636,0.5652972228597659,0.715859536378242,0.15,False,1.309303879737854
0.050825104117393494,0.10854268074035645,29.46258175021112,"[0, 0, 0]",41,sample_00041.npz,-1.581455945968628,gaussian_correlated,0.955809198319912,0.955809198319912,0.9842995088547468,winterbottom/gaussian_correlated,winterbottom,evaluation,0.709525158123289,0.5498171177761522,0.7636659215606584,0.6625528913963329,0.8675952045133991,0.15,False,1.3202334642410278
0.061745043843984604,0.11701703071594238,37.45091699166261,"[0, 0, 1]",42,sample_00042.npz,-0.6331685185432434,double_gaussian,0.9710832312703133,0.9745219796895981,0.9710832312703133,random_polyhedron/double_gaussian,random_polyhedron,evaluation,0.818207600680658,0.6923446124310055,0.7901944672692413,0.8482799176712732,1.0735077918259335,0.15,True,0.7217756509780884
0.04223867133259773,0.09604325145483017,20.31571744579841,"[1, 1, 0]",43,sample_00043.npz,-0.3345780372619629,double_cosine,0.9748191833496094,0.9795292895287275,0.9748191833496094,random_polyhedron/double_cosine,random_polyhedron,evaluation,0.7439976286928169,0.59235368156073,0.7508974870362983,0.7372234188368906,0.9817897004112003,0.15,True,1.5140953063964844
0.08344197273254395,0.1807684302330017,2.116369683061764,"[1, 0, -1]",44,sample_00044.npz,1.8371095657348633,gaussian_correlated,0.9913761541247368,0.9913761541247368,0.9955214438959956,random_polyhedron/gaussian_correlated,random_polyhedron,evaluation,0.4493191331531818,0.2897560308890863,0.8879581151832461,0.3007518796992481,0.3387005248971485,0.15,False,1.2649857997894287
0.07267393916845322,0.1154029369354248,133.94272784824017,"[1, 0, 0]",45,sample_00045.npz,0.035570647567510605,double_gaussian,0.8086205422878265,0.8314958065748215,0.8086205422878265,wulff/double_gaussian,wulff,evaluation,0.8236771600803751,0.7002135231316726,0.7272861684039329,0.9495222468873661,1.3055689605250458,0.15,True,0.5474790930747986
0.034149959683418274,0.09027951955795288,0.9340635099565631,"[0, 0, 1]",46,sample_00046.npz,-1.2049076557159424,double_cosine,0.960809126496315,0.9745455868542194,0.960809126496315,wulff/double_cosine,wulff,evaluation,0.7003227888960619,0.5388436320286112,0.8459139114160948,0.5974884335756775,0.7063229786296541,0.15,True,1.3597229719161987
0.0390244796872139,0.08634773641824722,16.890208836399154,"[0, 0, -1]",47,sample_00047.npz,0.5884947776794434,gaussian_correlated,0.9389249719679356,0.9389249719679356,0.9538278728723526,wulff/gaussian_correlated,wulff,evaluation,0.862221494102228,0.7578113750899929,0.8542444408375264,0.8703489333553829,1.0188523234661815,0.15,False,1.1667977571487427
0.04424184560775757,0.10942064970731735,8.028216069574553,"[0, 1, 0]",48,sample_00048.npz,-2.4746689796447754,double_gaussian,0.9880187585949898,0.9880187585949898,0.9919356554746628,winterbottom/double_gaussian,winterbottom,evaluation,0.7459401216039406,0.5948201792070701,0.8670602970119878,0.6545110750945435,0.7548622366288493,0.15,False,0.4097056984901428
0.044477663934230804,0.10655099898576736,28.370726991896785,"[1, 1, 0]",49,sample_00049.npz,-2.884514331817627,double_cosine,0.941208902746439,0.941208902746439,0.9694195929914713,winterbottom/double_cosine,winterbottom,evaluation,0.5064592304486735,0.3390997023809524,0.9110444777611194,0.3507118122354752,0.38495575221238937,0.15,False,1.1207431554794312
0.04793455824255943,0.1015607938170433,3.77893954768619,"[0, -1, 1]",50,sample_00050.npz,-2.075085163116455,gaussian_correlated,0.9640775546431541,0.9787365775555372,0.9640775546431541,winterbottom/gaussian_correlated,winterbottom,evaluation,0.6439299123904881,0.4748500230733733,0.5253350350989151,0.8316831683168316,1.5831481107294403,0.15,True,1.1598525047302246
0.06917904317378998,0.10833068192005157,158.39026380756127,"[0, 0, 0]",51,sample_00051.npz,-1.9267219305038452,double_gaussian,0.7836459577083588,0.7836459577083588,0.8319680392742157,random_polyhedron/double_gaussian,random_polyhedron,evaluation,0.8032885722115648,0.6712466794907026,0.6993701087993892,0.9434788206514741,1.3490408136989829,0.15,False,0.5040242075920105
0.06564229726791382,0.14052699506282806,6.783101884595687,"[0, 1, 0]",52,sample_00052.npz,0.3337711989879608,double_cosine,0.9814962688833475,0.9814962688833475,0.9969913435634226,random_polyhedron/double_cosine,random_polyhedron,evaluation,0.6263115415657788,0.45593419506462984,0.8549152542372881,0.4941706671891839,0.5780346820809249,0.15,False,1.2144149541854858
0.06132327392697334,0.13087131083011627,4.906736073533408,"[0, 0, 0]",53,sample_00053.npz,-2.3065061569213867,gaussian_correlated,0.9807216413319111,0.9817408323287964,0.9807216413319111,random_polyhedron/gaussian_correlated,random_polyhedron,evaluation,0.6925325538134467,0.5296747967479675,0.6631718241042345,0.7246135023912802,1.0926482037593148,0.15,True,1.1586037874221802
0.10208781063556671,0.15002386271953583,240.64962510572207,"[0, 1, 1]",54,sample_00054.npz,1.0513606071472168,double_gaussian,0.7070168852806091,0.7220292091369629,0.7070168852806091,wulff/double_gaussian,wulff,evaluation,0.6104965761624288,0.43936313195712856,0.44829283730088965,0.9566293989645082,2.1339386208449014,0.15,True,0.4963194727897644
0.04944733902812004,0.10815920680761337,2.6645330635055067,"[-1, 1, 1]",55,sample_00055.npz,-0.46603772044181824,double_cosine,0.9826061315834522,0.9902690956369042,0.9826061315834522,wulff/double_cosine,wulff,evaluation,0.6973556917123509,0.5353385319965343,0.6477459937097498,0.7551946918107212,1.1658809149642047,0.15,True,1.3040333986282349
0.05317559093236923,0.11325078457593918,5.268998341957193,"[-1, 0, 2]",56,sample_00056.npz,1.6350659132003784,gaussian_correlated,0.9507726654410362,0.9957940056920052,0.9507726654410362,wulff/gaussian_correlated,wulff,evaluation,0.7115101788064092,0.5522047338699988,0.7132216014897579,0.7098069498069498,0.9952123552123552,0.15,True,1.4484975337982178
0.05696594715118408,0.12818948924541473,14.502965616330089,"[-1, 1, 2]",57,sample_00057.npz,-0.775948703289032,double_gaussian,0.9641175754368305,0.9752178806811571,0.9641175754368305,winterbottom/double_gaussian,winterbottom,evaluation,0.6923950056753689,0.5295138888888888,0.8822528500935851,0.5697802197802198,0.6458241758241758,0.15,True,1.1972551345825195
0.037126604467630386,0.08726953715085983,7.0143249514609085,"[-1, 1, 1]",58,sample_00058.npz,3.0540034770965576,double_cosine,0.9550981894135475,0.971593601629138,0.9550981894135475,winterbottom/double_cosine,winterbottom,evaluation,0.775523560209424,0.6333511491181186,0.683982683982684,0.8953532300717794,1.309029089535323,0.15,True,1.2342445850372314
0.03968996927142143,0.09627240896224976,12.398921941292828,"[0, 0, -2]",59,sample_00059.npz,3.138442277908325,gaussian_correlated,0.9888049867004156,0.9888049867004156,0.9931957987137139,winterbottom/gaussian_correlated,winterbottom,evaluation,0.6608357628765792,0.4934687953555878,0.6388308977035491,0.6844106463878327,1.0713486915678818,0.15,False,1.1718230247497559
0.06053407862782478,0.10480080544948578,68.31866776485975,"[0, 0, 0]",60,sample_00060.npz,0.7055297493934631,double_gaussian,0.8891755640506744,0.9567505419254303,0.8891755640506744,random_polyhedron/double_gaussian,random_polyhedron,evaluation,0.7711177968062949,0.6274952919020715,0.6596060576066515,0.9280044562038713,1.406907116000557,0.15,True,0.648628294467926
