2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-08-31 23:57:16 | INFO    | TRAIN | epoch=001/030 | batch=01500/05033 | loss=7.586431e-01 | stage_elapsed=00:16:31 | stage_eta=00:38:55 | data_wait=3.65s
2026-08-31 23:57:50 | INFO    | TRAIN | epoch=001/030 | batch=01550/05033 | loss=7.111552e-01 | stage_elapsed=00:17:05 | stage_eta=00:38:23 | data_wait=3.67s
2026-08-31 23:58:24 | INFO    | TRAIN | epoch=001/030 | batch=01600/05033 | loss=7.576092e-01 | stage_elapsed=00:17:39 | stage_eta=00:37:52 | data_wait=3.68s
2026-08-31 23:58:57 | INFO    | TRAIN | epoch=001/030 | batch=01650/05033 | loss=8.134433e-01 | stage_elapsed=00:18:12 | stage_eta=00:37:20 | data_wait=3.69s
2026-08-31 23:59:28 | INFO    | TRAIN | epoch=001/030 | batch=01700/05033 | loss=8.200393e-01 | stage_elapsed=00:18:43 | stage_eta=00:36:42 | data_wait=3.71s
2026-09-01 00:00:02 | INFO    | TRAIN | epoch=001/030 | batch=01750/05033 | loss=7.001785e-01 | stage_elapsed=00:19:17 | stage_eta=00:36:10 | data_wait=3.72s
2026-09-01 00:00:37 | INFO    | TRAIN | epoch=001/030 | batch=01800/05033 | loss=7.101604e-01 | stage_elapsed=00:19:52 | stage_eta=00:35:40 | data_wait=3.73s
2026-09-01 00:01:11 | INFO    | TRAIN | epoch=001/030 | batch=01850/05033 | loss=7.802749e-01 | stage_elapsed=00:20:26 | stage_eta=00:35:09 | data_wait=3.75s
2026-09-01 00:01:44 | INFO    | TRAIN | epoch=001/030 | batch=01900/05033 | loss=6.995783e-01 | stage_elapsed=00:20:59 | stage_eta=00:34:35 | data_wait=3.76s
2026-09-01 00:02:15 | INFO    | TRAIN | epoch=001/030 | batch=01950/05033 | loss=7.399789e-01 | stage_elapsed=00:21:30 | stage_eta=00:33:59 | data_wait=3.78s
