amplitude_mae,amplitude_nrmse,amplitude_scale,center_shift_voxels,index,name,particle_seed,phase_offset_rad,phase_type,phase_wca,phase_wca_direct,phase_wca_inverted,shape_phase,shape_type,split,support_dice,support_iou,support_precision,support_recall,support_volume_ratio,threshold,twin_flip_selected,wrapped_phase_mae_rad
30471632.0,0.0895843359343833,15470917098.464964,"[-1, 0, 0]",3383,sample_99000.npz,21293831,-0.48624932765960693,random,0.7626774907112122,0.9595123119652271,0.7626774907112122,winterbottom/random,winterbottom,evaluation,0.7711462067629106,0.6275329180793188,0.8739431206764028,0.6899869960988296,0.7895101863892501,0.275,True,0.5355634093284607
24898138.0,0.04827458872866473,7467981031.129902,"[0, 0, 1]",3384,sample_99001.npz,21293831,-2.900174856185913,cosine,0.7663730084896088,0.9401082061231136,0.7663730084896088,winterbottom/cosine,winterbottom,evaluation,0.8102643856920684,0.681045751633987,0.9470267462996624,0.7080178606095904,0.74762182100563,0.275,True,0.2638935446739197
18224522.0,0.050750738397126974,5015165325.485967,"[-1, 1, 1]",3385,sample_99002.npz,21293831,2.8770127296447754,gauss,0.713438481092453,0.713438481092453,0.8986273854970932,winterbottom/gauss,winterbottom,evaluation,0.8821223997588182,0.7891046386192018,0.9098258706467661,0.8560561732007022,0.9409011117612639,0.275,False,0.8035481572151184
13830266.0,0.07941256009217193,1282427728.0563543,"[-1, -1, 0]",3386,sample_99003.npz,21293832,-0.4199066758155823,random,0.5738500654697418,0.5738500654697418,0.9347404986619949,wulff/random,wulff,evaluation,0.7952369834228344,0.6600775193798449,0.963371517465705,0.6770698737700029,0.7028128416658384,0.275,False,0.5648778676986694
14970021.0,0.016048674701874856,8510701109.992268,"[0, 0, 0]",3387,sample_99004.npz,21293832,0.2287553995847702,cosine,0.18725347518920898,0.7197378575801849,0.18725347518920898,wulff/cosine,wulff,evaluation,0.962128966223132,0.9270216962524654,0.9442491210447012,0.980699008868023,1.038601982263954,0.275,True,0.08227469772100449
35255952.0,0.03420427237028012,7621552999.320151,"[1, 2, 1]",3388,sample_99005.npz,21293832,0.9728997349739075,cosine,0.33358728885650635,0.33358728885650635,0.9418219774961472,wulff/cosine,wulff,evaluation,0.792690233672858,0.656575682382134,0.8529980657640233,0.7403469501958589,0.8679350867375489,0.275,False,0.9580430388450623
20025798.0,0.041323879001906295,3414605960.5049057,"[-1, 1, 1]",3389,sample_99006.npz,21293833,-2.1720573902130127,cosine,0.3837447166442871,0.3837447166442871,0.9451417811214924,wulff/cosine,wulff,evaluation,0.8654165677664373,0.7627615062761506,0.8542642924086223,0.8768638768638769,1.0264550264550265,0.275,False,0.21581721305847168
11148102.0,0.028779247982685083,11837846735.317022,"[0, 0, 1]",3390,sample_99007.npz,21293833,-0.3049573004245758,cosine,0.17043721675872803,0.17043721675872803,0.794793963432312,wulff/cosine,wulff,evaluation,0.9493280058118416,0.903543647363872,0.9357321876118868,0.9633247327681533,1.029487652045706,0.275,False,0.18961192667484283
16807340.0,0.01631461171785354,18670017597.464634,"[0, 0, 0]",3391,sample_99008.npz,21293833,2.304851531982422,gauss,0.1305375099182129,0.1305375099182129,0.31485867500305176,wulff/gauss,wulff,evaluation,0.970554926387316,0.9427942794279428,0.9607623318385651,0.9805491990846682,1.0205949656750573,0.275,False,0.140200674533844
8163219.5,0.04451669127111225,7473624164.692892,"[0, 0, 0]",3392,sample_99009.npz,21293834,0.8724560141563416,cosine,0.3123944401741028,0.3123944401741028,0.9160231947898865,wulff/cosine,wulff,evaluation,0.9514766969461815,0.9074444928167175,0.9690376569037656,0.9345408895265424,0.9644010043041606,0.275,False,0.32589760422706604
18536726.0,0.07767091695072349,9981427747.011652,"[0, 0, 1]",3393,sample_99010.npz,21293834,0.4143979251384735,gauss,0.3666425943374634,0.3666425943374634,0.8528960347175598,wulff/gauss,wulff,evaluation,0.8861534322133656,0.7955794432030919,0.8282409153778448,0.9527735589788096,1.1503579952267302,0.275,False,0.29183244705200195
16995248.0,0.015161386839629492,3769887876.001435,"[0, 0, 0]",3394,sample_99011.npz,21293834,1.2337628602981567,cosine,0.38407009840011597,0.38407009840011597,0.9539348296821117,wulff/cosine,wulff,evaluation,0.9528125833111171,0.909877800407332,0.9791780821917808,0.9278296988577363,0.9475597092419522,0.275,False,0.20796166360378265
33505108.0,0.04782250804441369,19815743338.610435,"[0, 0, 2]",3395,sample_99012.npz,21293835,-1.4962084293365479,gauss,0.5270856618881226,0.5270856618881226,0.9583393782377243,random/gauss,random,evaluation,0.8725868725868726,0.773972602739726,0.8807482462977396,0.864575363427697,0.981637337413925,0.275,False,0.2151344269514084
15854579.0,0.0454746478067684,12239082006.833189,"[1, 0, 0]",3396,sample_99013.npz,21293835,2.615553617477417,cosine,0.4964749813079834,0.4964749813079834,0.9797212556004524,random/cosine,random,evaluation,0.9069207060801345,0.8296934276632831,0.9586541878924298,0.8604849000425351,0.8975967673330497,0.275,False,0.17188052833080292
28129778.0,0.03895169879364104,17279186364.757538,"[0, 0, 0]",3397,sample_99014.npz,21293835,-2.780996322631836,gauss,0.47499340772628784,0.47499340772628784,0.9401280097663403,random/gauss,random,evaluation,0.92944591695065,0.8681914642772931,0.896736483195324,0.9646319098768666,1.0757139114487817,0.275,False,0.20589999854564667
26932438.0,0.07919621281497527,3459095008.117142,"[1, -1, 0]",3398,sample_99015.npz,21293836,-1.494604229927063,gauss,0.39895135164260864,0.39895135164260864,0.9346235692501068,wulff/gauss,wulff,evaluation,0.8129400570884872,0.6848348829753126,0.744445412564259,0.8953159383841559,1.2026616368018443,0.275,False,0.3491094708442688
13311453.0,0.06589444322515864,7312926846.266975,"[0, 1, 0]",3399,sample_99016.npz,21293836,-2.084423780441284,cosine,0.3407987356185913,0.3407987356185913,0.7574203014373779,wulff/cosine,wulff,evaluation,0.9515753184154244,0.9076239191328705,0.9471911540416879,0.9560002565582708,1.0093002373164004,0.275,False,0.2577130198478699
26184322.0,0.05182479880921309,9303628615.246012,"[0, 0, 1]",3400,sample_99017.npz,21293836,-3.1145856380462646,random,0.2844640612602234,0.8751799836754799,0.2844640612602234,wulff/random,wulff,evaluation,0.9183132712544477,0.8489641657334827,0.906576980568012,0.930357416781715,1.0262310170271514,0.275,True,0.24627377092838287
14901171.0,0.03814723777437325,2934182282.656477,"[0, -1, 0]",3401,sample_99018.npz,21293837,-2.492765188217163,gauss,0.2834548354148865,0.2834548354148865,0.9296726360917091,wulff/gauss,wulff,evaluation,0.930548742028173,0.8701179554390563,0.9145887863342058,0.9470756062767475,1.0355206847360914,0.275,False,0.31327569484710693
25869454.0,0.04366508590415942,5654088861.535019,"[-1, 0, 0]",3402,sample_99019.npz,21293837,-1.206486463546753,random,0.4054999351501465,0.8347078412771225,0.4054999351501465,wulff/random,wulff,evaluation,0.9154901570888845,0.8441510817748441,0.912405866032501,0.9185953711093376,1.006783719074222,0.275,True,0.23249521851539612
19677330.0,0.027910990343678884,7392819944.087318,"[0, 0, 0]",3403,sample_99020.npz,21293837,3.1043546199798584,cosine,0.436776340007782,0.436776340007782,0.9420230500400066,wulff/cosine,wulff,evaluation,0.9439601494396015,0.8938679245283019,0.9688589356263072,0.9203090507726269,0.9498896247240618,0.275,False,0.13554747402668
15090719.0,0.024005164674530927,6791635183.592881,"[0, 0, 0]",3404,sample_99021.npz,21293838,1.5777870416641235,cosine,0.6625462770462036,0.8801052570343018,0.6625462770462036,random/cosine,random,evaluation,0.8820705489459403,0.7890216579536968,0.8829920601755119,0.8811509591326105,0.9979149291075896,0.275,True,0.18197785317897797
25581474.0,0.04934939239655216,14086672723.547958,"[0, 1, 1]",3405,sample_99022.npz,21293838,-0.7473155856132507,random,0.5820339322090149,0.5820339322090149,0.8738743960857391,random/random,random,evaluation,0.7604395604395604,0.6134751773049646,0.8255293766776022,0.7048637636872931,0.8538324420677362,0.275,False,0.8281038999557495
32243520.0,0.048169611105325666,10585679609.307913,"[0, 0, 0]",3406,sample_99024.npz,21293839,1.0920565128326416,cosine,0.7721729129552841,0.7721729129552841,0.9485453218221664,random/cosine,random,evaluation,0.8517344602923049,0.7417573991719062,0.8962386511024644,0.8114410333836605,0.9053850025163563,0.275,False,0.4146977663040161
37735168.0,0.04472835755391845,14161980026.133772,"[0, 2, 0]",3407,sample_99025.npz,21293839,2.5029854774475098,gauss,0.6202367544174194,0.9746760446578264,0.6202367544174194,random/gauss,random,evaluation,0.8319703749421385,0.7122853368560106,0.8927152317880794,0.7789656168737359,0.8725801791389771,0.275,True,0.5927885174751282
44308256.0,0.053792199872793656,9548820291.348837,"[0, 0, -1]",3408,sample_99028.npz,21293840,-1.161159634590149,random,0.8296754360198975,0.9537165090441704,0.8296754360198975,random/random,random,evaluation,0.7871827265418628,0.6490530303030303,0.9417422368782633,0.6762036306235202,0.718034727703236,0.275,True,0.5959537625312805
28760048.0,0.03926691863661846,17029886289.893517,"[0, 1, 0]",3409,sample_99030.npz,21293841,-1.177255392074585,random,0.5742645859718323,0.7374827563762665,0.5742645859718323,wulff/random,wulff,evaluation,0.8445846477392218,0.7309792500910084,0.9152233363719234,0.7840687231550175,0.8566966028894963,0.275,True,0.5321260690689087
17729532.0,0.012465511359045917,26013687847.799923,"[0, 0, 0]",3410,sample_99031.npz,21293841,-2.070830821990967,gauss,0.15969932079315186,0.3353238105773926,0.15969932079315186,wulff/gauss,wulff,evaluation,0.9612031386224935,0.9253042383550147,0.9483870967741935,0.9743703049049933,1.0273972602739727,0.275,True,0.0690944641828537
21520478.0,0.04061143291510432,6289700802.6539345,"[1, 1, 0]",3411,sample_99032.npz,21293841,-2.286888360977173,cosine,0.2455182671546936,0.9079867675900459,0.2455182671546936,wulff/cosine,wulff,evaluation,0.8840761867930002,0.7922370473054929,0.868211165970376,0.900531810124089,1.0372267086862321,0.275,True,0.7202109694480896
31774400.0,0.03503598021537443,36810865844.461075,"[0, 0, 0]",3412,sample_99035.npz,21293842,-1.854384183883667,cosine,0.4659891724586487,0.8242429345846176,0.4659891724586487,random/cosine,random,evaluation,0.9060539395420842,0.8282437062416207,0.8753148614609572,0.9390305691606148,1.0727917581489612,0.275,True,0.12922297418117523
17831090.0,0.07896792115045709,6902480206.092566,"[-1, 1, 0]",3413,sample_99036.npz,21293843,-1.4876549243927002,gauss,0.463168740272522,0.5341430008411407,0.463168740272522,wulff/gauss,wulff,evaluation,0.8661236754705045,0.7638607992189135,0.9359138682389131,0.8060195746559717,0.8612112738244168,0.275,True,0.8430969715118408
10552838.0,0.012470012970185337,5825865783.788151,"[0, 0, 0]",3414,sample_99037.npz,21293843,-1.161246657371521,cosine,0.1236417293548584,0.9536470472812653,0.1236417293548584,wulff/cosine,wulff,evaluation,0.9760698689956332,0.9532582736267485,0.9838028169014085,0.9684575389948007,0.9844020797227037,0.275,True,0.07009664922952652
23956070.0,0.027788763727200096,28784495260.268353,"[0, 0, 1]",3415,sample_99038.npz,21293843,-2.147489070892334,random,0.2187192440032959,0.2187192440032959,0.45076143741607666,wulff/random,wulff,evaluation,0.9344380403458213,0.8769438810006761,0.9157448811485055,0.9539102721255209,1.0416768815886246,0.275,False,0.19265645742416382
37665332.0,0.02356035238381665,13258940563.805285,"[0, 1, 1]",3416,sample_99041.npz,21293844,2.3440213203430176,gauss,0.44846177101135254,0.44846177101135254,0.8865244686603546,winterbottom/gauss,winterbottom,evaluation,0.903850484125197,0.8245686113393591,0.8814229249011858,0.927449168207024,1.0522181146025877,0.275,False,0.16067248582839966
16826726.0,0.022959956735369973,2247563713.901718,"[0, 0, 1]",3417,sample_99042.npz,21293845,0.457816481590271,cosine,0.5599196255207062,0.9507640041410923,0.5599196255207062,wulff/cosine,wulff,evaluation,0.8754279694495655,0.7784543325526933,0.878900052882073,0.8719832109129066,0.9921301154249738,0.275,True,0.9476875066757202
14744076.0,0.0482787217511799,4485115063.558217,"[0, 0, 0]",3418,sample_99043.npz,21293845,-2.8426058292388916,gauss,0.40007150173187256,0.40007150173187256,0.8519678264856339,wulff/gauss,wulff,evaluation,0.954972080313651,0.9138244656662119,0.968550427762381,0.9417691857059168,0.9723491505565319,0.275,False,0.13738968968391418
10533490.0,0.02572396238810158,20315730560.280987,"[0, 0, 0]",3419,sample_99046.npz,21293846,0.6457946300506592,random,0.22108638286590576,0.874491274356842,0.22108638286590576,winterbottom/random,winterbottom,evaluation,0.9482945904844666,0.9016732080148729,0.9318958155422715,0.9652808491817779,1.0358248562582928,0.275,True,0.09986533224582672
17169434.0,0.0375672327879519,8305662672.885976,"[1, 1, 0]",3420,sample_99047.npz,21293846,-0.7920588254928589,gauss,0.4789382219314575,0.4789382219314575,0.8611217141151428,winterbottom/gauss,winterbottom,evaluation,0.8675388389206868,0.7660649819494585,0.8647106764466178,0.8703855619360131,1.0065627563576702,0.275,False,0.30132460594177246
8952228.0,0.018873928077352255,5131211345.0025425,"[0, 0, 0]",3421,sample_99048.npz,21293847,1.138730525970459,cosine,0.16166973114013672,0.9771860186010599,0.16166973114013672,winterbottom/cosine,winterbottom,evaluation,0.9706136560069144,0.9429051217464316,0.964983888292159,0.9763094979352315,1.0117365790045643,0.275,True,0.14606784284114838
12891318.0,0.01784721639052581,16463816441.586405,"[0, 0, 0]",3422,sample_99049.npz,21293847,-0.7332723736763,cosine,0.14568251371383667,0.9637870825827122,0.14568251371383667,winterbottom/cosine,winterbottom,evaluation,0.956921127652835,0.9174005466140298,0.9757751937984496,0.9387818520820386,0.9620882535736482,0.275,True,0.12602074444293976
30910738.0,0.04863592555626079,2600492640.559956,"[1, 1, 0]",3423,sample_99050.npz,21293847,-0.8577730655670166,random,0.6750010550022125,0.9355529025197029,0.6750010550022125,winterbottom/random,winterbottom,evaluation,0.8591686361740581,0.7531074823300025,0.8803418803418803,0.8389899538419766,0.9530274232962259,0.275,True,0.2751805782318115
8854894.0,0.019978212987994196,1458264031.4214027,"[0, 0, -1]",3424,sample_99051.npz,21293848,-2.9055826663970947,cosine,0.7323686480522156,0.970095057040453,0.7323686480522156,random/cosine,random,evaluation,0.8271028037383178,0.7051792828685259,0.8916876574307305,0.7712418300653595,0.8649237472766884,0.275,True,0.2117740660905838
11478969.0,0.040402942081046195,20174336487.088547,"[0, 1, 1]",3425,sample_99052.npz,21293848,0.9820370078086853,random,0.5489355325698853,0.7075892686843872,0.5489355325698853,random/random,random,evaluation,0.895282936611736,0.8104183109707972,0.9086725663716814,0.8822821790685684,0.9709572091424643,0.275,True,0.20737749338150024
28871040.0,0.023359419151481837,4543602813.349452,"[0, 1, -1]",3426,sample_99053.npz,21293848,-2.1007251739501953,random,0.7719147205352783,0.888896718621254,0.7719147205352783,random/random,random,evaluation,0.8123393316195373,0.683982683982684,0.8180473372781065,0.8067104303428154,0.9861415025528811,0.275,True,0.33209437131881714
32925836.0,0.04044826727974117,9200068376.1608,"[0, 0, 0]",3427,sample_99054.npz,21293849,-1.223390817642212,random,0.6081981360912323,0.6081981360912323,0.9524118341505527,random/random,random,evaluation,0.8793406296446427,0.7846636122498192,0.9150731158605174,0.8462938881664499,0.9248374512353706,0.275,False,0.3638423979282379
14789766.0,0.03967843252565767,18241050528.66308,"[0, 0, 0]",3428,sample_99055.npz,21293849,-2.1900687217712402,cosine,0.4111495614051819,0.988430512137711,0.4111495614051819,random/cosine,random,evaluation,0.9242484969939879,0.8591654247391952,0.9533653051099719,0.8968574984443062,0.9407280647168638,0.275,True,0.20575068891048431
18863966.0,0.03296081673597323,7171950142.492339,"[0, 0, 0]",3429,sample_99056.npz,21293849,0.9013442993164062,cosine,0.5179773271083832,0.9921352174133062,0.5179773271083832,random/cosine,random,evaluation,0.9111520201530859,0.8368037017262858,0.9187182493161391,0.9037093984239861,0.9836632711896982,0.275,True,0.23961034417152405
27679526.0,0.04708339947572067,4854358486.9707,"[-1, -1, -1]",3430,sample_99057.npz,21293850,2.114407539367676,random,0.7725928574800491,0.9094345569610596,0.7725928574800491,winterbottom/random,winterbottom,evaluation,0.7884714359238292,0.6508071367884452,0.8794489092996556,0.7145522388059702,0.8125,0.275,True,0.5956248044967651
18128918.0,0.018395752593772862,21604945055.08433,"[0, -1, 0]",3431,sample_99058.npz,21293850,-2.700005292892456,cosine,0.24456775188446045,0.7527714520692825,0.24456775188446045,winterbottom/cosine,winterbottom,evaluation,0.9255102040816326,0.8613485280151947,0.9302564102564103,0.9208121827411168,0.9898477157360406,0.275,True,0.14773286879062653
16838834.0,0.022997986075874215,8134086685.254793,"[0, 0, 0]",3432,sample_99059.npz,21293850,-0.028571246191859245,random,0.2951458692550659,0.2951458692550659,0.8973277658224106,winterbottom/random,winterbottom,evaluation,0.9597251836057806,0.9225688909132316,0.9561010148690111,0.9633769322235434,1.0076099881093936,0.275,False,0.15674255788326263
