calibration_support_dice_mean,calibration_support_iou_mean,calibration_support_precision_mean,calibration_support_recall_mean,calibration_support_volume_ratio_mean,calibration_wrapped_phase_mae_rad_mean,evaluation_support_dice_mean,evaluation_support_iou_mean,evaluation_support_precision_mean,evaluation_support_recall_mean,evaluation_support_volume_ratio_mean,evaluation_wrapped_phase_mae_rad_mean,threshold
0.060713110848301624,0.0314561849912278,0.031456719105658525,0.9997072935194514,35.94405428799117,0.35594249922289956,0.06102450649339969,0.03163964580833026,0.031640342754749556,0.9996675020072165,35.90704687307371,0.36910135255722115,0.01
0.14641304841358796,0.08089605849220939,0.0809098253570335,0.998847267060027,15.402481942505474,0.35520292840459766,0.14518116363634448,0.08017446273899063,0.08019126617658512,0.9986927437375405,15.533720101289294,0.368266038571539,0.02
0.2666727402486772,0.16061116637226003,0.16070067664654897,0.9974535551399585,8.076587283026313,0.35406035142685055,0.26397604464359914,0.1587067946534233,0.15881315112632727,0.9970794347351372,8.197507802995045,0.36694343390294515,0.03
0.3851635984072049,0.25015326871909543,0.2504737755845291,0.9955414042831813,5.028859303411155,0.3525605338961194,0.3820204550489855,0.24774374232902996,0.24810969548068715,0.9950069224830919,5.117691709819396,0.36533665346651795,0.04
0.48678619990009625,0.3360151034645266,0.33682169539618617,0.9931981798267573,3.5544329721228527,0.3508137696552851,0.48305373454166667,0.33303812124750537,0.33394595525207377,0.9924258407833888,3.6197469023501796,0.3634335418436942,0.05
0.6625936257181123,0.5086898420061544,0.5123428709289554,0.9856638736808501,2.1038559202353704,0.34569781305537645,0.6576582723159227,0.5037707493401987,0.5077365551244263,0.9843499368480072,2.134025688380625,0.3580103567011784,0.075
0.7605743164939663,0.6226927886968211,0.6317856879061222,0.9764458681138066,1.6106796265398933,0.3402321456545843,0.7560378686444529,0.6173178703108309,0.6271182758395365,0.9743909322744863,1.6245462968572701,0.35217090335227375,0.1
0.8161289895619263,0.6953989165851044,0.7123078708288165,0.9658748755497996,1.3834249795545972,0.3347951674984205,0.8123636137828617,0.6904536079222319,0.7086142889936178,0.9630626341032308,1.3887999867656833,0.3462412240671469,0.125
0.8487358912083318,0.7417723669057175,0.768448860055608,0.9541916356975667,1.255099967790026,0.3295598350731783,0.8454909004372111,0.7372385549742879,0.7658062041218603,0.9506635614479767,1.255705110104215,0.3405689342403504,0.15
0.8680390942441588,0.7709591314358134,0.8090041968783903,0.941496875829417,1.1713901321898623,0.3245695183990166,0.865105352933564,0.7667125007235789,0.8072677228570387,0.9374068111141566,1.1691396443976894,0.33530242856231807,0.175
0.8793474545757998,0.78895689182075,0.8397634724746234,0.9278957243142338,1.1099283140969036,0.319849575533604,0.8765081704058773,0.7847707690550113,0.8386528624438184,0.9233339723606377,1.105958557592639,0.3303896405633757,0.2
0.8853587282179252,0.7991170295057232,0.8640137021223772,0.9133577822774691,1.0607360831388792,0.31529661587998603,0.8823847870984833,0.7947071554641131,0.8632687000140138,0.9082628489976919,1.0556084218936177,0.32561701800520704,0.225
0.8876222973820298,0.8035581214100512,0.8837941935383403,0.8978907831790294,1.0187624210938544,0.3109523743366811,0.8843330240038604,0.7986663924333554,0.8832404086693633,0.8921690511233791,1.0127010131237442,0.3211099267774889,0.25
0.8869306036672389,0.8034208710373415,0.9002690427025662,0.8814210003577309,0.9813155252826626,0.30670653435558815,0.8832008368343851,0.7978842391440827,0.8998583856298694,0.8749438815238227,0.9743009441907385,0.3168435348588944,0.275
0.8837161543598994,0.7993690657241295,0.9142403033063603,0.8638025622645441,0.9466748151607591,0.30261947406539014,0.8793871983267539,0.7930143806089869,0.9139295871237915,0.8564248921995447,0.9386373667472802,0.31264466868134927,0.3
0.8705976606968312,0.7812190637643864,0.9366308266633758,0.8246859122991672,0.8817300645322446,0.29460147878377,0.8648403483577247,0.7730511591627577,0.9363551592851878,0.8155939966384814,0.8720029994200902,0.30436667926438304,0.35
0.8488183122853599,0.750976151856678,0.9533560603079974,0.7797356921127394,0.8187332411419875,0.2866011113390886,0.8415294690970304,0.7410949226947396,0.9530283010789535,0.769111021293156,0.8075987211570123,0.29617264027310247,0.4
0.8183108946951406,0.709962548621705,0.9660229887641621,0.7284261501915729,0.7545941042203588,0.27852142791002504,0.809451532374419,0.698602443347347,0.9657313515270595,0.7164909156479873,0.7422454038507881,0.2878443944281212,0.45
0.7779253128614363,0.6583208592946067,0.9756325410156615,0.6696637589350913,0.6866993198054532,0.27016761003019735,0.7673341297212396,0.6455047429859937,0.9752987200911115,0.6564472699229729,0.6732031164723936,0.27933587379186825,0.5
0.6600670590551164,0.5213044702616139,0.9882331936912148,0.5247816561587788,0.5310315810122497,0.2520537026371876,0.6461554653328543,0.5067679533188513,0.9877552064121539,0.5101171715962953,0.5163166970288794,0.2607620532710028,0.6
