name,real_amp_ssim,real_amp_l1,real_phase_mae_true_support,real_support_dice,real_support_iou,real_support_volume_ratio,threshold
val_diff_000000,0.9305539727210999,0.008131560869514942,0.5742682814598083,0.7758628129959106,0.6338037848472595,1.4209941625595093,0.05
val_diff_000001,0.9259453415870667,0.01086978055536747,0.5452333092689514,0.7363192439079285,0.5826782584190369,1.459869384765625,0.05
val_diff_000002,0.9527418613433838,0.005053351633250713,0.7624415159225464,0.6734463572502136,0.5076661109924316,1.7206851243972778,0.05
val_diff_000003,0.9470142722129822,0.0068463231436908245,0.6162441968917847,0.7649570107460022,0.6193768382072449,1.5275075435638428,0.05
val_diff_000004,0.9593579769134521,0.004525568336248398,0.9600673913955688,0.5472807288169861,0.37672850489616394,2.04740571975708,0.05
val_diff_000005,0.9348931908607483,0.007798298262059689,0.48437485098838806,0.7942854762077332,0.6587674021720886,1.3980822563171387,0.05
val_diff_000006,0.948931097984314,0.006371131166815758,0.6405665874481201,0.6922003030776978,0.5292861461639404,1.6575366258621216,0.05
val_diff_000007,0.9562489986419678,0.005318159237504005,0.6423868536949158,0.7623886466026306,0.6160162091255188,1.5543569326400757,0.05
val_diff_000008,0.9457024335861206,0.006741525139659643,0.5573417544364929,0.7325718402862549,0.577998697757721,1.502062439918518,0.05
val_diff_000009,0.9369287490844727,0.009061882272362709,0.5080478191375732,0.7737266421318054,0.6309577226638794,1.4987982511520386,0.05
val_diff_000010,0.9619423747062683,0.004483387805521488,0.7731058597564697,0.6802809238433838,0.5154740214347839,1.7321383953094482,0.05
val_diff_000011,0.9621682167053223,0.0042655812576413155,0.8444805145263672,0.6807982325553894,0.5160683393478394,1.7344647645950317,0.05
val_diff_000012,0.9726345539093018,0.002668724860996008,0.5343181490898132,0.6406566500663757,0.4712986350059509,1.7252140045166016,0.05
val_diff_000013,0.9522684216499329,0.004821040667593479,0.592923104763031,0.707271158695221,0.5471148490905762,1.7364232540130615,0.05
val_diff_000014,0.9535301327705383,0.005069248378276825,0.7291925549507141,0.6872599124908447,0.5235308408737183,1.6379565000534058,0.05
val_diff_000015,0.9464817047119141,0.005620167125016451,0.7600668668746948,0.5893847942352295,0.41782107949256897,1.9220905303955078,0.05
val_diff_000000,0.9534122347831726,0.006507432088255882,0.2771854102611542,0.8886457085609436,0.7996060848236084,1.2155990600585938,0.075
val_diff_000001,0.9348496794700623,0.010426530614495277,0.36469078063964844,0.8421151041984558,0.7272874712944031,1.2468928098678589,0.075
val_diff_000002,0.9603734016418457,0.004866986069828272,0.5373715162277222,0.8262707591056824,0.7039705514907837,1.3370662927627563,0.075
val_diff_000003,0.9572290778160095,0.00643576867878437,0.3336249887943268,0.8568919897079468,0.7496159672737122,1.2503039836883545,0.075
val_diff_000004,0.9663733839988708,0.004207560792565346,0.45327189564704895,0.7818456888198853,0.6418281197547913,1.4673385620117188,0.075
val_diff_000005,0.9457071423530579,0.00733555294573307,0.3133152425289154,0.8653600215911865,0.7626736164093018,1.18767511844635,0.075
val_diff_000006,0.9583626985549927,0.005927191115915775,0.3654634654521942,0.8370163440704346,0.7197146415710449,1.3429934978485107,0.075
val_diff_000007,0.96515291929245,0.004885831847786903,0.33292797207832336,0.8641551733016968,0.7608038783073425,1.2593965530395508,0.075
val_diff_000008,0.9546769857406616,0.006396321579813957,0.31324002146720886,0.8488157987594604,0.7373414039611816,1.2392457723617554,0.075
val_diff_000009,0.942582905292511,0.009164867922663689,0.3045029044151306,0.8432648777961731,0.7290043234825134,1.2856816053390503,0.075
val_diff_000010,0.9692495465278625,0.0041214898228645325,0.3951462209224701,0.8042442798614502,0.6725823879241943,1.3317344188690186,0.075
val_diff_000011,0.970620334148407,0.003855629125609994,0.5225279331207275,0.846441924571991,0.7337662577629089,1.3005222082138062,0.075
val_diff_000012,0.9814525842666626,0.0022984493989497423,0.25429287552833557,0.896675169467926,0.8127028346061707,1.159624457359314,0.075
val_diff_000013,0.9701080322265625,0.003853487316519022,0.3383530080318451,0.8325552940368652,0.7131432294845581,1.3066478967666626,0.075
val_diff_000014,0.9606603980064392,0.0046620480716228485,0.4037731885910034,0.8399298787117004,0.7240337133407593,1.2881571054458618,0.075
val_diff_000015,0.9587752819061279,0.005190207157284021,0.4095104932785034,0.7832707166671753,0.6437510251998901,1.4471328258514404,0.075
val_diff_000000,0.9537432193756104,0.0064409454353153706,0.2782105803489685,0.8964624404907227,0.8123533129692078,1.1847847700119019,0.1
val_diff_000001,0.9349874258041382,0.010378178209066391,0.35614660382270813,0.8470520973205566,0.7346838116645813,1.2188750505447388,0.1
val_diff_000002,0.9605098366737366,0.004824977368116379,0.531023383140564,0.8349961638450623,0.7167325615882874,1.2889766693115234,0.1
val_diff_000003,0.9573506116867065,0.006396421231329441,0.3279677629470825,0.8629546165466309,0.7589446902275085,1.2189970016479492,0.1
val_diff_000004,0.9663975238800049,0.004183617886155844,0.4383721649646759,0.7886367440223694,0.6510323882102966,1.4176931381225586,0.1
val_diff_000005,0.9460745453834534,0.007284725550562143,0.31164777278900146,0.871303915977478,0.771956205368042,1.1606334447860718,0.1
val_diff_000006,0.9588689804077148,0.005879824981093407,0.35390976071357727,0.8458358645439148,0.7328557968139648,1.308535099029541,0.1
val_diff_000007,0.965252161026001,0.004838768858462572,0.32694053649902344,0.8724648952484131,0.7737806439399719,1.2189449071884155,0.1
val_diff_000008,0.9549419283866882,0.006353266537189484,0.3061242997646332,0.8549454808235168,0.7466417551040649,1.2028579711914062,0.1
val_diff_000009,0.9428768754005432,0.009115664288401604,0.2967626750469208,0.849113941192627,0.7377914786338806,1.2605012655258179,0.1
val_diff_000010,0.9692385792732239,0.004090817645192146,0.3870781362056732,0.8093135952949524,0.679703414440155,1.2878061532974243,0.1
val_diff_000011,0.9707024097442627,0.0038231275975704193,0.5206085443496704,0.85493004322052,0.7466182112693787,1.2587467432022095,0.1
val_diff_000012,0.9814486503601074,0.0022813654504716396,0.26483622193336487,0.9016179442405701,0.8208600878715515,1.1165423393249512,0.1
val_diff_000013,0.9703052043914795,0.0038126290310174227,0.32830697298049927,0.8394628167152405,0.723339855670929,1.2659176588058472,0.1
val_diff_000014,0.9607216119766235,0.004627063404768705,0.39168253540992737,0.8470566272735596,0.7346905469894409,1.2484694719314575,0.1
val_diff_000015,0.9591049551963806,0.0051376367919147015,0.4050879180431366,0.7941295504570007,0.6585529446601868,1.3905153274536133,0.1
val_diff_000000,0.9541419148445129,0.006370704621076584,0.28018084168434143,0.9029721617698669,0.8231077790260315,1.1585168838500977,0.125
val_diff_000001,0.935261070728302,0.010332426987588406,0.3512510657310486,0.8510027527809143,0.7406481504440308,1.200653076171875,0.125
val_diff_000002,0.9606421589851379,0.0047915782779455185,0.525075376033783,0.8404472470283508,0.7248029708862305,1.2584540843963623,0.125
val_diff_000003,0.9576473832130432,0.006347248330712318,0.32401296496391296,0.8693724870681763,0.7689291834831238,1.1942249536514282,0.125
val_diff_000004,0.9664784073829651,0.004158652853220701,0.43070462346076965,0.7945463061332703,0.659126341342926,1.3818589448928833,0.125
val_diff_000005,0.9462347030639648,0.007245238404721022,0.31257253885269165,0.8746854662895203,0.777280867099762,1.140702486038208,0.125
val_diff_000006,0.9587575197219849,0.0058584632351994514,0.34567299485206604,0.8481942415237427,0.7364039421081543,1.2850327491760254,0.125
val_diff_000007,0.9654197096824646,0.00478905625641346,0.3225591480731964,0.8795124888420105,0.7849373817443848,1.1850665807724,0.125
val_diff_000008,0.9550628066062927,0.006317984778434038,0.3002427816390991,0.8590359091758728,0.7529035210609436,1.1789923906326294,0.125
val_diff_000009,0.9431502819061279,0.009070668369531631,0.29164838790893555,0.8532175421714783,0.7440099716186523,1.2410438060760498,0.125
val_diff_000010,0.9693797826766968,0.004058857448399067,0.37799426913261414,0.8479820489883423,0.7360841035842896,1.251956582069397,0.125
val_diff_000011,0.9706844687461853,0.0037930174730718136,0.523332417011261,0.8608991503715515,0.7557708024978638,1.2242820262908936,0.125
val_diff_000012,0.9814359545707703,0.0022690147161483765,0.27328595519065857,0.9041638970375061,0.8250904679298401,1.0892019271850586,0.125
val_diff_000013,0.9703394174575806,0.0037847801577299833,0.3219335675239563,0.8421823978424072,0.7273878455162048,1.235252857208252,0.125
val_diff_000014,0.9605566263198853,0.004613898694515228,0.38562002778053284,0.847867488861084,0.7359114289283752,1.2174371480941772,0.125
val_diff_000015,0.9593398571014404,0.005086670164018869,0.39782610535621643,0.8025976419448853,0.6702823638916016,1.347205400466919,0.125
val_diff_000000,0.9542019367218018,0.006327161565423012,0.28198882937431335,0.9059012532234192,0.8279885649681091,1.136593222618103,0.15
val_diff_000001,0.9354087114334106,0.010283921845257282,0.3462068736553192,0.8542892932891846,0.7456413507461548,1.18306303024292,0.15
val_diff_000002,0.960585355758667,0.004768868442624807,0.5255066752433777,0.8428093791007996,0.7283236980438232,1.2323232889175415,0.15
val_diff_000003,0.9578686952590942,0.006297550164163113,0.32429832220077515,0.8745183348655701,0.7770169377326965,1.1691489219665527,0.15
val_diff_000004,0.9665345549583435,0.004135110415518284,0.42349258065223694,0.7988560795783997,0.6650793552398682,1.349384069442749,0.15
val_diff_000005,0.9463276863098145,0.00720583600923419,0.3132632374763489,0.877541720867157,0.7818033695220947,1.1246498823165894,0.15
val_diff_000006,0.9585559964179993,0.00583960535004735,0.3358296751976013,0.8492764830589294,0.7380369901657104,1.2592331171035767,0.15
val_diff_000007,0.9655042886734009,0.004753560293465853,0.31889471411705017,0.8835322856903076,0.7913638949394226,1.160627007484436,0.15
val_diff_000008,0.955171525478363,0.006286360789090395,0.29262641072273254,0.8617486357688904,0.757081151008606,1.1567472219467163,0.15
val_diff_000009,0.9432311654090881,0.009032582864165306,0.28533145785331726,0.8557003736495972,0.747793972492218,1.2217007875442505,0.15
val_diff_000010,0.9693605303764343,0.004036203026771545,0.37114205956459045,0.8512181043624878,0.7409745454788208,1.2279727458953857,0.15
val_diff_000011,0.9706748723983765,0.003764881519600749,0.5266959071159363,0.8655651807785034,0.7629924416542053,1.1966058015823364,0.15
val_diff_000012,0.9813408255577087,0.002262614667415619,0.2850869297981262,0.9047109484672546,0.8260019421577454,1.0635184049606323,0.15
val_diff_000013,0.9705215692520142,0.0037521503400057554,0.3192392885684967,0.8467895984649658,0.7342888712882996,1.209269642829895,0.15
val_diff_000014,0.9604169726371765,0.004598828498274088,0.38264158368110657,0.849091112613678,0.7377569675445557,1.1948490142822266,0.15
val_diff_000015,0.9594438076019287,0.005040688440203667,0.39293327927589417,0.8089112043380737,0.6791359186172485,1.3133317232131958,0.15
val_diff_000000,0.9536837339401245,0.0063132066279649734,0.27858737111091614,0.9050500988960266,0.8265675902366638,1.1132712364196777,0.2
val_diff_000001,0.9356226921081543,0.01018708199262619,0.3382446765899658,0.8594943881034851,0.753608226776123,1.1499894857406616,0.2
val_diff_000002,0.9607537388801575,0.004702686332166195,0.523959755897522,0.8490718603134155,0.7377278804779053,1.1765481233596802,0.2
val_diff_000003,0.9581857919692993,0.006234732456505299,0.32373031973838806,0.8792821168899536,0.7845703959465027,1.1338906288146973,0.2
val_diff_000004,0.966352641582489,0.004121008329093456,0.40620166063308716,0.7969924807548523,0.6625000238418579,1.3165467977523804,0.2
val_diff_000005,0.947131335735321,0.007002163212746382,0.2865734398365021,0.8875752091407776,0.7978743314743042,1.1206626892089844,0.2
val_diff_000006,0.9584619998931885,0.005799462087452412,0.3234945237636566,0.851344883441925,0.7411667108535767,1.2205336093902588,0.2
val_diff_000007,0.9656264185905457,0.004693024791777134,0.31611913442611694,0.8884117007255554,0.799227237701416,1.119163990020752,0.2
val_diff_000008,0.955467700958252,0.006212512031197548,0.2833356261253357,0.8674381375312805,0.7659080028533936,1.1259576082229614,0.2
val_diff_000009,0.9433584809303284,0.008930998854339123,0.2777149975299835,0.8602003455162048,0.7546942830085754,1.1712257862091064,0.2
val_diff_000010,0.9691744446754456,0.004001255612820387,0.36129409074783325,0.8547028303146362,0.7462716698646545,1.1875789165496826,0.2
val_diff_000011,0.9706168174743652,0.0037191968876868486,0.5237153172492981,0.8701711297035217,0.7701796293258667,1.1543323993682861,0.2
val_diff_000012,0.981179416179657,0.002256124746054411,0.3004154860973358,0.9037199020385742,0.8243513107299805,1.0407480001449585,0.2
val_diff_000013,0.961909294128418,0.004389671608805656,0.3869428038597107,0.8637605309486389,0.760192334651947,1.194964051246643,0.2
val_diff_000014,0.9604487419128418,0.0045446003787219524,0.3712300658226013,0.8538575172424316,0.7449837327003479,1.1676608324050903,0.2
val_diff_000015,0.959301769733429,0.0049705421552062035,0.38197585940361023,0.8143118619918823,0.6867842078208923,1.2554690837860107,0.2
val_diff_000000,0.9534375667572021,0.00626276433467865,0.27368083596229553,0.9058974981307983,0.8279822468757629,1.0971156358718872,0.25
val_diff_000001,0.9358582496643066,0.010037125088274479,0.3260658085346222,0.8640693426132202,0.7606708407402039,1.1252142190933228,0.25
val_diff_000002,0.9612166881561279,0.004618538543581963,0.5241303443908691,0.8549190759658813,0.746601402759552,1.143715262413025,0.25
val_diff_000003,0.9576457142829895,0.006217993795871735,0.3185270130634308,0.8775420784950256,0.7818039655685425,1.128288984298706,0.25
val_diff_000004,0.9666598439216614,0.0040575480088591576,0.39420801401138306,0.8039610385894775,0.6721863746643066,1.2766526937484741,0.25
val_diff_000005,0.9477777481079102,0.006914006546139717,0.2903296649456024,0.8900961875915527,0.801957905292511,1.095037579536438,0.25
val_diff_000006,0.9585742950439453,0.0057264771312475204,0.3058653473854065,0.8541088104248047,0.7453663945198059,1.2033836841583252,0.25
val_diff_000007,0.9658010005950928,0.004627550020813942,0.3067399859428406,0.8911653757095337,0.8036954998970032,1.1005336046218872,0.25
val_diff_000008,0.9554944038391113,0.006150326691567898,0.27196958661079407,0.8696821928024292,0.7694138288497925,1.1160874366760254,0.25
val_diff_000009,0.9434835314750671,0.008825176395475864,0.26948150992393494,0.8698141574859619,0.7696204781532288,1.14234459400177,0.25
val_diff_000010,0.9687073230743408,0.003992932848632336,0.3472473621368408,0.8518562316894531,0.7419421672821045,1.1791160106658936,0.25
val_diff_000011,0.9706064462661743,0.0036743658129125834,0.5177650451660156,0.8730018734931946,0.774625837802887,1.1328859329223633,0.25
val_diff_000012,0.9811009168624878,0.002230484038591385,0.30980655550956726,0.9052838683128357,0.826957643032074,1.0227402448654175,0.25
val_diff_000013,0.9621913433074951,0.004326480440795422,0.3774581849575043,0.8667116165161133,0.7647758722305298,1.169185757637024,0.25
val_diff_000014,0.9603041410446167,0.004494608845561743,0.35914838314056396,0.8550253510475159,0.7467635869979858,1.1506550312042236,0.25
val_diff_000015,0.9592055082321167,0.004914144519716501,0.3794461786746979,0.8154343962669373,0.688382625579834,1.2322628498077393,0.25
val_diff_000000,0.952960193157196,0.0062135206535458565,0.2776620388031006,0.90625,0.8285714387893677,1.0723042488098145,0.3
val_diff_000001,0.935878336429596,0.009962577372789383,0.3212744891643524,0.8643953800201416,0.761176347732544,1.079445242881775,0.3
val_diff_000002,0.9609897136688232,0.004592932760715485,0.5359722971916199,0.8534841537475586,0.7444154620170593,1.1158274412155151,0.3
val_diff_000003,0.9575008749961853,0.006179008632898331,0.3240240216255188,0.8781903386116028,0.7828336358070374,1.1031298637390137,0.3
val_diff_000004,0.9665523767471313,0.0040086982771754265,0.3828817903995514,0.8049374222755432,0.6735525131225586,1.2512719631195068,0.3
val_diff_000005,0.9477192759513855,0.006845049560070038,0.29216012358665466,0.8914767503738403,0.8042020797729492,1.0758605003356934,0.3
val_diff_000006,0.951812207698822,0.006600658409297466,0.27153894305229187,0.8604534864425659,0.7550840973854065,1.1688663959503174,0.3
val_diff_000007,0.9654877781867981,0.004604714922606945,0.3004913926124573,0.8900849223136902,0.8019396662712097,1.0854086875915527,0.3
val_diff_000008,0.9555141925811768,0.006085140164941549,0.26292505860328674,0.8720495104789734,0.7731274962425232,1.0994107723236084,0.3
val_diff_000009,0.9433225393295288,0.008783550001680851,0.262813538312912,0.869188129901886,0.7686407566070557,1.1194881200790405,0.3
val_diff_000010,0.9688541293144226,0.003931705374270678,0.33709916472435,0.8552679419517517,0.747133731842041,1.1609768867492676,0.3
val_diff_000011,0.9700869917869568,0.0036628004163503647,0.5199918746948242,0.8700196146965027,0.7699422240257263,1.1105597019195557,0.3
val_diff_000012,0.9815295934677124,0.002051820047199726,0.30702558159828186,0.9146236181259155,0.8426787257194519,1.009855031967163,0.3
val_diff_000013,0.9621543288230896,0.004293171688914299,0.37305036187171936,0.8662790656089783,0.764102578163147,1.1505376100540161,0.3
val_diff_000014,0.9601004719734192,0.004442574456334114,0.35387924313545227,0.8556474447250366,0.7477131485939026,1.1295140981674194,0.3
val_diff_000015,0.9591774344444275,0.004851451143622398,0.38092151284217834,0.8158077001571655,0.6889148950576782,1.2065272331237793,0.3
val_diff_000000,0.9522725939750671,0.00619058171287179,0.2823945879936218,0.9050134420394897,0.826506495475769,1.0444726943969727,0.35
val_diff_000001,0.9353533387184143,0.009994723834097385,0.31171727180480957,0.8603805303573608,0.7549718022346497,1.0566937923431396,0.35
val_diff_000002,0.9604832530021667,0.004586609546095133,0.5616046786308289,0.8486725687980652,0.7371252775192261,1.0834293365478516,0.35
val_diff_000003,0.9569969177246094,0.00616752915084362,0.32703232765197754,0.8764505386352539,0.7800729274749756,1.0875554084777832,0.35
val_diff_000004,0.9663475155830383,0.003966055810451508,0.37784212827682495,0.8037518262863159,0.671893835067749,1.2211538553237915,0.35
val_diff_000005,0.9481940269470215,0.00669446587562561,0.29559969902038574,0.8958463668823242,0.8113421201705933,1.0478240251541138,0.35
val_diff_000006,0.9526418447494507,0.006440328434109688,0.26121166348457336,0.8453326225280762,0.7321006059646606,1.1429356336593628,0.35
val_diff_000007,0.9656509757041931,0.004520779941231012,0.29518789052963257,0.8931955099105835,0.807003915309906,1.0505121946334839,0.35
val_diff_000008,0.9553794860839844,0.006012422032654285,0.25390803813934326,0.8733804225921631,0.7752221822738647,1.0805636644363403,0.35
val_diff_000009,0.9436137080192566,0.008685192093253136,0.2549656331539154,0.8653522729873657,0.7626616358757019,1.1031923294067383,0.35
val_diff_000010,0.9683545827865601,0.003926240839064121,0.3298647701740265,0.8523080945014954,0.7426279187202454,1.1233817338943481,0.35
val_diff_000011,0.9701821804046631,0.0035712821409106255,0.5264536738395691,0.8748130798339844,0.7774825096130371,1.0596305131912231,0.35
val_diff_000012,0.9812238216400146,0.0020479606464505196,0.3071068525314331,0.9129599332809448,0.8398585915565491,0.9908796548843384,0.35
val_diff_000013,0.9626400470733643,0.004217613488435745,0.3704986274242401,0.8682225942611694,0.7671319842338562,1.113050103187561,0.35
val_diff_000014,0.9601861834526062,0.004379533231258392,0.3507085144519806,0.8566493988037109,0.7492446899414062,1.0959275960922241,0.35
