name,real_amp_l1,real_amp_ssim,real_phase_mae_true_support,real_support_dice,real_support_iou,real_support_volume_ratio,threshold
val_diff_000000,0.015015488490462303,0.6129150390625,2.819420099258423,0.33383452892303467,0.200360968708992,4.980096817016602,0.05
val_diff_000001,0.032280951738357544,0.3447491526603699,1.9487353563308716,0.1849251389503479,0.1018829271197319,9.755950927734375,0.05
val_diff_000002,0.01136202085763216,0.7310964465141296,0.3121280372142792,0.27642324566841125,0.16037769615650177,6.205094337463379,0.05
val_diff_000003,0.0138022406026721,0.6924594640731812,0.602999746799469,0.3209487795829773,0.19114889204502106,5.176595687866211,0.05
val_diff_000004,0.008842386305332184,0.8216542601585388,1.9117659330368042,0.2401217222213745,0.13644222915172577,7.095931529998779,0.05
val_diff_000005,0.014403346925973892,0.6456412672996521,0.5738102793693542,0.35339805483818054,0.2146226465702057,4.603857040405273,0.05
val_diff_000006,0.013047264888882637,0.6454049348831177,2.9798991680145264,0.23772035539150238,0.13489365577697754,7.2601165771484375,0.05
val_diff_000007,0.012480102479457855,0.7579457759857178,2.3240137100219727,0.3647423982620239,0.22304889559745789,4.375189781188965,0.05
val_diff_000008,0.010090827941894531,0.7572677731513977,0.647619903087616,0.3764672875404358,0.23188155889511108,4.271066665649414,0.05
val_diff_000009,0.021597936749458313,0.5125840902328491,1.0342812538146973,0.25973397493362427,0.1492495834827423,6.581206321716309,0.05
val_diff_000010,0.010543844662606716,0.717957079410553,0.5390156507492065,0.23799516260623932,0.13507066667079926,7.049230098724365,0.05
val_diff_000011,0.008141878060996532,0.8305402994155884,2.51485538482666,0.3349135220050812,0.20113882422447205,4.948302745819092,0.05
val_diff_000012,0.0033830255270004272,0.9384387135505676,0.3790317177772522,0.5325892567634583,0.36294493079185486,2.711681842803955,0.05
val_diff_000013,0.00908310804516077,0.8133054971694946,0.7056406140327454,0.31246718764305115,0.18516215682029724,5.244850158691406,0.05
val_diff_000014,0.005156396888196468,0.8734557032585144,2.797441005706787,0.4500406086444855,0.2903563976287842,3.4177749156951904,0.05
val_diff_000015,0.008057596161961555,0.8347881436347961,2.8246984481811523,0.3283284902572632,0.19640730321407318,5.0752482414245605,0.05
