name,chi2_modulus,inference_ms,paper_modulus_mae,pearson_corr,pearson_loss,phase_wca,phase_wca_direct,phase_wca_inverted,real_amp_global_ssim,real_amp_l1,real_amp_mse,real_amp_rel_l1,real_amp_rmse,real_amp_ssim,real_phase_l1_true_support,real_phase_mae_intersection,real_phase_mae_true_support,real_phase_mse_true_support,real_phase_rel_l1_true_support,real_phase_rmse_true_support,real_support_dice,real_support_iou,real_support_l1,real_support_mse,real_support_pred_fraction,real_support_rel_l1,real_support_rmse,real_support_true_fraction,real_support_volume_ratio,relative_l1_modulus,relative_log_mse,twin_flip_selected,voxel_mse,voxel_rmse
val_diff_000000,6.933521682142563e-14,30.05526351928711,7.853745046304539e-06,1.0,0.0,0.5882200598716736,0.5882200598716736,0.97853684425354,0.952803373336792,0.008141927421092987,0.0017978749237954617,0.29701194167137146,0.042401473969221115,0.8971838355064392,0.8901713490486145,0.8867120146751404,0.8901713490486145,0.8466014266014099,0.9094851016998291,0.9201094508171082,0.7741072773933411,0.6314641237258911,0.02191162109375,0.02191162109375,0.05924224853515625,0.5803192853927612,0.148025780916214,0.03775787353515625,1.5690038204193115,6.653712034676573e-07,3.554704490829619e-12,0.0,3.8034683735865826e-10,0.00010188398300670087
val_diff_000001,6.770428537467357e-14,30.05526351928711,9.11438291950617e-06,1.0,0.0,0.5922880172729492,0.9930089116096497,0.5922880172729492,0.9173682928085327,0.015441982075572014,0.003232076531276107,0.49076321721076965,0.05685144290328026,0.7021163105964661,1.1647255420684814,1.1715184450149536,1.1647255420684814,1.413718342781067,3.1749799251556396,1.1889989376068115,0.4962806701660156,0.3300354480743408,0.072845458984375,0.072845458984375,0.1083984375,2.011375665664673,0.2698989808559418,0.03621673583984375,2.9930481910705566,6.843276878498727e-07,4.756612638490143e-12,1.0,5.110920575646105e-10,0.00010252361971652135
val_diff_000002,8.816857427528316e-14,30.05526351928711,6.163880698295543e-06,1.0,0.0,0.8823806047439575,0.8823806047439575,0.9938368797302246,0.8917707204818726,0.007009261287748814,0.0018648251425474882,0.5396870970726013,0.04318373650312424,0.9135487079620361,0.22267791628837585,0.21386422216892242,0.22267791628837585,0.13376520574092865,0.17513251304626465,0.36573928594589233,0.5974491834640503,0.4259732961654663,0.0231170654296875,0.0231170654296875,0.0400543212890625,1.3306982517242432,0.15204299986362457,0.01737213134765625,2.3056652545928955,5.61627359729755e-07,1.868365922044757e-12,0.0,2.371735863260227e-10,0.00010117892088601366
val_diff_000003,7.70569317989217e-14,30.05526351928711,8.046215043577831e-06,1.0,0.0,0.7509353160858154,0.7509353160858154,0.9905970692634583,0.9394738674163818,0.007787479553371668,0.002015453763306141,0.3550538122653961,0.04489391669631004,0.9063079953193665,0.2538054883480072,0.2500574588775635,0.2538054883480072,0.10964330285787582,0.35577040910720825,0.33112430572509766,0.6698011755943298,0.5035346746444702,0.024646759033203125,0.024646759033203125,0.049541473388671875,0.9819148778915405,0.15699289739131927,0.0251007080078125,1.973708152770996,6.102235374783049e-07,3.1246691432201823e-12,0.0,4.0976122495095524e-10,0.00010202823614235967
val_diff_000004,8.402833143921276e-14,30.05526351928711,5.65267419005977e-06,1.0000001192092896,-1.1920928955078125e-07,0.756978452205658,0.9926044344902039,0.756978452205658,0.8825497031211853,0.005027115345001221,0.0014194839168339968,0.6082470417022705,0.03767617046833038,0.931782603263855,0.5346472859382629,0.5350001454353333,0.5346472859382629,0.4032197892665863,1.5071547031402588,0.6349958777427673,0.5287333130836487,0.3593728542327881,0.01776885986328125,0.01776885986328125,0.027484893798828125,1.73870849609375,0.13329991698265076,0.010219573974609375,2.689436435699463,5.434567356132902e-07,2.6936727588050546e-12,1.0,1.576864472330186e-10,0.00010078534978674725
val_diff_000005,8.754915602161503e-14,30.05526351928711,7.923616976768244e-06,1.0000001192092896,-1.1920928955078125e-07,0.7090574502944946,0.7090574502944946,0.9736393690109253,0.9544681906700134,0.007901622913777828,0.0015086040366441011,0.309109091758728,0.0388408824801445,0.9004222750663757,0.21739447116851807,0.2121473252773285,0.21739447116851807,0.1171274408698082,0.2342558056116104,0.3422388732433319,0.7154332995414734,0.5569452047348022,0.027973175048828125,0.027973175048828125,0.06289291381835938,0.790023684501648,0.167251855134964,0.03540802001953125,1.7762335538864136,6.967849799366377e-07,4.325255431592012e-12,0.0,4.5265236003899645e-10,0.0001022382130031474
val_diff_000006,7.837176410228561e-14,30.05526351928711,7.9896672104951e-06,1.0,0.0,0.5613625049591064,0.5613625049591064,0.984462559223175,0.9633249640464783,0.005418330430984497,0.001152467797510326,0.27923187613487244,0.03394816443324089,0.9088250398635864,0.7871720194816589,0.7887406945228577,0.7871720194816589,0.6575598120689392,3.50394606590271,0.8109006285667419,0.6882600784301758,0.5246925354003906,0.019458770751953125,0.019458770751953125,0.04083251953125,0.9013960361480713,0.13949473202228546,0.021587371826171875,1.8915002346038818,6.148670763650443e-07,3.1369132551944956e-12,0.0,3.7817765585757e-10,0.00010187333828071132
val_diff_000007,8.195335144019211e-14,30.05526351928711,7.599812761327485e-06,1.0,0.0,0.5804368257522583,0.9721089005470276,0.5804368257522583,0.9415162205696106,0.006285070441663265,0.0018359741661697626,0.331501841545105,0.042848385870456696,0.9391538500785828,0.7958467602729797,0.8016236424446106,0.7958467602729797,0.6992056369781494,1.7226006984710693,0.8361851572990417,0.7229503989219666,0.5661098957061768,0.016448974609375,0.016448974609375,0.036739349365234375,0.7267823815345764,0.12825359404087067,0.022632598876953125,1.623293399810791,6.237823413357546e-07,3.801560628791112e-12,1.0,3.6177827400507567e-10,0.00010179282253375277
val_diff_000008,8.097728488188488e-14,30.05526351928711,8.319753760588355e-06,1.0,0.0,0.5895811915397644,0.5895811915397644,0.9651607871055603,0.9686391353607178,0.005610104650259018,0.0011912451591342688,0.24702803790569305,0.03451456502079964,0.9340394735336304,0.3080199360847473,0.3069080412387848,0.3080199360847473,0.13957436382770538,0.7732292413711548,0.37359654903411865,0.7607576847076416,0.6138893961906433,0.016139984130859375,0.016139984130859375,0.041568756103515625,0.6233058571815491,0.12704327702522278,0.0258941650390625,1.6053329706192017,6.240226753106981e-07,3.3896080386952576e-12,0.0,4.4558567946495486e-10,0.00010220364492852241
val_diff_000009,6.865355181052968e-14,30.05526351928711,8.96240453585051e-06,1.0,0.0,0.6654499769210815,0.6654499769210815,0.9760866165161133,0.94692462682724,0.010552185587584972,0.0021336807403713465,0.36207133531570435,0.04619188979268074,0.8470231294631958,0.24006517231464386,0.23984186351299286,0.24006517231464386,0.09552920609712601,0.9072633385658264,0.30907800793647766,0.6210815906524658,0.45041215419769287,0.040439605712890625,0.040439605712890625,0.073394775390625,1.2133455276489258,0.2010960429906845,0.033329010009765625,2.2021288871765137,6.79713707540941e-07,4.424214467002585e-12,0.0,4.836220313109152e-10,0.00010238956019748002
