name,normal_paper_modulus_mae,recalibrated_paper_modulus_mae,delta_paper_modulus_mae,normal_chi2_modulus,recalibrated_chi2_modulus,delta_chi2_modulus,normal_pearson_corr,recalibrated_pearson_corr,delta_pearson_corr,normal_real_amp_l1,recalibrated_real_amp_l1,delta_real_amp_l1,normal_real_amp_ssim,recalibrated_real_amp_ssim,delta_real_amp_ssim,normal_real_support_iou,recalibrated_real_support_iou,delta_real_support_iou,normal_real_support_dice,recalibrated_real_support_dice,delta_real_support_dice,normal_real_support_volume_ratio,recalibrated_real_support_volume_ratio,delta_real_support_volume_ratio,normal_real_phase_mae_true_support,recalibrated_real_phase_mae_true_support,delta_real_phase_mae_true_support
val_diff_000000,3.8681771755218506,3.8779189586639404,0.009741783142089844,0.014285231940448284,0.014375041238963604,8.980929851531982e-05,0.9927160143852234,0.9926730394363403,-4.297494888305664e-05,0.006440946366637945,0.006414975970983505,-2.5970395654439926e-05,0.9537432193756104,0.9542322158813477,0.0004889965057373047,0.8123533129692078,0.8169001936912537,0.0045468807220458984,0.8964624404907227,0.8992241024971008,0.002761662006378174,1.1847847700119019,1.1744797229766846,-0.010305047035217285,0.2782105803489685,0.2845993638038635,0.0063887834548950195
val_diff_000001,4.354551315307617,4.369780540466309,0.015229225158691406,0.022488972172141075,0.023170646280050278,0.0006816741079092026,0.9894179105758667,0.9893313646316528,-8.654594421386719e-05,0.010378178209066391,0.01035391166806221,-2.4266541004180908e-05,0.934987485408783,0.9346327185630798,-0.000354766845703125,0.7346838116645813,0.7368769645690918,0.002193152904510498,0.8470520973205566,0.8485079407691956,0.001455843448638916,1.2188750505447388,1.2096060514450073,-0.009268999099731445,0.35614660382270813,0.36338886618614197,0.007242262363433838
val_diff_000002,3.9148101806640625,3.930817127227783,0.016006946563720703,0.027065109461545944,0.027635887265205383,0.0005707778036594391,0.9860252737998962,0.9857771396636963,-0.00024813413619995117,0.0048249769024550915,0.004815157037228346,-9.819865226745605e-06,0.9605098366737366,0.9605252146720886,1.537799835205078e-05,0.7167325615882874,0.7183965444564819,0.00166398286819458,0.8349961638450623,0.8361243009567261,0.0011281371116638184,1.2889766693115234,1.2685551643371582,-0.020421504974365234,0.531023383140564,0.5409311056137085,0.009907722473144531
val_diff_000003,4.489704608917236,4.500282287597656,0.010577678680419922,0.020491400733590126,0.020701918751001358,0.000210518017411232,0.9894933104515076,0.9894742965698242,-1.901388168334961e-05,0.006396421696990728,0.00630956469103694,-8.685700595378876e-05,0.9573506116867065,0.9580433368682861,0.0006927251815795898,0.7589446902275085,0.763001561164856,0.004056870937347412,0.8629546165466309,0.8655710816383362,0.0026164650917053223,1.2189970016479492,1.2101824283599854,-0.008814573287963867,0.3279677629470825,0.3308137059211731,0.002845942974090576
val_diff_000004,3.670194625854492,3.684455394744873,0.01426076889038086,0.029736842960119247,0.030203014612197876,0.00046617165207862854,0.984286367893219,0.984112024307251,-0.00017434358596801758,0.004183618351817131,0.004146118648350239,-3.749970346689224e-05,0.9663975238800049,0.9664761424064636,7.861852645874023e-05,0.6510323882102966,0.6557164788246155,0.004684090614318848,0.7886367440223694,0.7920637130737305,0.003426969051361084,1.4176931381225586,1.389324426651001,-0.028368711471557617,0.4383721649646759,0.4407820403575897,0.0024098753929138184
val_diff_000005,3.876208543777466,3.8596982955932617,-0.0165102481842041,0.014197327196598053,0.01431032083928585,0.00011299364268779755,0.9928182363510132,0.9927610158920288,-5.7220458984375e-05,0.007284725550562143,0.00734315300360322,5.842745304107666e-05,0.9460745453834534,0.9458407163619995,-0.00023382902145385742,0.771956205368042,0.7698497176170349,-0.00210648775100708,0.871303915977478,0.8699605464935303,-0.001343369483947754,1.1606334447860718,1.1565395593643188,-0.00409388542175293,0.31164777278900146,0.3189558684825897,0.007308095693588257
val_diff_000006,4.08138370513916,4.110082626342773,0.02869892120361328,0.02075740322470665,0.0214760210365057,0.0007186178117990494,0.9899170994758606,0.9897913932800293,-0.00012570619583129883,0.005879824981093407,0.006883388385176659,0.001003563404083252,0.9588689804077148,0.9505646228790283,-0.008304357528686523,0.7328557968139648,0.7332087159156799,0.0003529191017150879,0.8458358645439148,0.8460708856582642,0.00023502111434936523,1.308535099029541,1.2936915159225464,-0.014843583106994629,0.35390976071357727,0.3301863372325897,-0.02372342348098755
val_diff_000007,4.096884250640869,4.095148086547852,-0.0017361640930175781,0.018406813964247704,0.018340228125452995,-6.658583879470825e-05,0.9905208945274353,0.9906194806098938,9.85860824584961e-05,0.004838768858462572,0.004784199874848127,-5.456898361444473e-05,0.9652521014213562,0.9658785462379456,0.0006264448165893555,0.7737806439399719,0.7803884148597717,0.006607770919799805,0.8724648952484131,0.8766496181488037,0.004184722900390625,1.2189449071884155,1.2095061540603638,-0.009438753128051758,0.32694053649902344,0.32607394456863403,-0.0008665919303894043
val_diff_000008,4.106233596801758,4.094521522521973,-0.011712074279785156,0.013515006750822067,0.013580047525465488,6.504077464342117e-05,0.9930607676506042,0.9931171536445618,5.638599395751953e-05,0.006353267468512058,0.006432579830288887,7.931236177682877e-05,0.9549419283866882,0.9541820287704468,-0.0007598996162414551,0.7466417551040649,0.7423621416091919,-0.004279613494873047,0.8549454808235168,0.85213303565979,-0.0028124451637268066,1.2028579711914062,1.192840337753296,-0.010017633438110352,0.3061242997646332,0.31113874912261963,0.00501444935798645
val_diff_000009,4.240837574005127,4.245160102844238,0.004322528839111328,0.01899254135787487,0.019078394398093224,8.585304021835327e-05,0.9904965162277222,0.9906074404716492,0.00011092424392700195,0.009115664288401604,0.009020619094371796,-9.504519402980804e-05,0.9428768754005432,0.942954421043396,7.75456428527832e-05,0.7377914786338806,0.7394646406173706,0.0016731619834899902,0.849113941192627,0.8502209186553955,0.0011069774627685547,1.2605012655258179,1.2535195350646973,-0.0069817304611206055,0.2967626750469208,0.3022236227989197,0.005460947751998901
val_diff_000010,4.0120720863342285,4.05744743347168,0.04537534713745117,0.030291656032204628,0.031136710196733475,0.0008450541645288467,0.9844682812690735,0.9842472076416016,-0.00022107362747192383,0.004090817645192146,0.004073849879205227,-1.6967765986919403e-05,0.9692385792732239,0.9691656231880188,-7.295608520507812e-05,0.679703414440155,0.6846660375595093,0.004962623119354248,0.8093135952949524,0.812821090221405,0.0035074949264526367,1.2878061532974243,1.260540246963501,-0.02726590633392334,0.3870781362056732,0.3914628028869629,0.004384666681289673
val_diff_000011,3.943634033203125,3.955653429031372,0.01201939582824707,0.03210657462477684,0.0322452187538147,0.00013864412903785706,0.9830160737037659,0.9829612970352173,-5.4776668548583984e-05,0.0038231275975704193,0.003836589865386486,1.3462267816066742e-05,0.9707024097442627,0.9705546498298645,-0.00014775991439819336,0.7466182112693787,0.7468072175979614,0.00018900632858276367,0.85493004322052,0.8550539612770081,0.0001239180564880371,1.2587467432022095,1.249869465827942,-0.008877277374267578,0.5206085443496704,0.5283697247505188,0.007761180400848389
val_diff_000012,3.1778383255004883,3.210648775100708,0.03281044960021973,0.017311466857790947,0.01812339574098587,0.0008119288831949234,0.9909752607345581,0.9905575513839722,-0.0004177093505859375,0.0022813654504716396,0.0022806450724601746,-7.203780114650726e-07,0.9814486503601074,0.9814438223838806,-4.827976226806641e-06,0.8208600878715515,0.823387861251831,0.002527773380279541,0.9016179442405701,0.903140664100647,0.0015227198600769043,1.1165423393249512,1.09279203414917,-0.02375030517578125,0.26483622193336487,0.28176215291023254,0.016925930976867676
val_diff_000013,3.539173126220703,3.5358407497406006,-0.003332376480102539,0.02036176808178425,0.020421525463461876,5.9757381677627563e-05,0.9893777966499329,0.9893720149993896,-5.781650543212891e-06,0.0038126290310174227,0.00375318992882967,-5.9439102187752724e-05,0.9703052043914795,0.9709763526916504,0.0006711483001708984,0.723339855670929,0.7251031994819641,0.0017633438110351562,0.8394628167152405,0.8406490683555603,0.0011862516403198242,1.2659176588058472,1.250468134880066,-0.01544952392578125,0.32830697298049927,0.32788896560668945,-0.00041800737380981445
val_diff_000014,3.7661337852478027,3.7900757789611816,0.023941993713378906,0.022060630843043327,0.02258167415857315,0.0005210433155298233,0.988534152507782,0.9882990717887878,-0.00023508071899414062,0.004627063404768705,0.004608409013599157,-1.8654391169548035e-05,0.9607216119766235,0.9611164331436157,0.0003948211669921875,0.7346905469894409,0.7380443811416626,0.0033538341522216797,0.8470566272735596,0.849281370639801,0.002224743366241455,1.2484694719314575,1.2326366901397705,-0.01583278179168701,0.39168253540992737,0.39283889532089233,0.0011563599109649658
val_diff_000015,3.816411256790161,3.826864719390869,0.010453462600708008,0.029476644471287727,0.02981596626341343,0.0003393217921257019,0.9845788478851318,0.9844085574150085,-0.00017029047012329102,0.0051376367919147015,0.0051049282774329185,-3.270851448178291e-05,0.9591049551963806,0.9594200253486633,0.00031507015228271484,0.6585529446601868,0.6631632447242737,0.004610300064086914,0.7941295504570007,0.7974722385406494,0.0033426880836486816,1.3905153274536133,1.373820424079895,-0.01669490337371826,0.4050879180431366,0.4024377763271332,-0.002650141716003418
val_diff_000016,4.101114273071289,4.110677242279053,0.009562969207763672,0.014113110490143299,0.014202331192791462,8.922070264816284e-05,0.992803692817688,0.9928303956985474,2.6702880859375e-05,0.0052765547297894955,0.005255523137748241,-2.1031592041254044e-05,0.9632901549339294,0.9632947444915771,4.589557647705078e-06,0.8052940964698792,0.8076285123825073,0.002334415912628174,0.8921473026275635,0.8935779929161072,0.0014306902885437012,1.1689045429229736,1.1568905115127563,-0.012014031410217285,0.30783984065055847,0.31474581360816956,0.006905972957611084
