name,paper_modulus_mae,chi2_modulus,real_amp_ssim,r_factor_free,llk_free,chi2_free,inference_ms,pearson_corr,pearson_loss,real_amp_global_ssim,real_amp_l1,real_amp_mse,real_amp_rel_l1,real_amp_rmse,real_phase_l1_true_support,real_phase_mae_intersection,real_phase_mae_true_support,real_phase_mse_true_support,real_phase_rel_l1_true_support,real_phase_rmse_true_support,real_support_dice,real_support_iou,real_support_l1,real_support_mse,real_support_pred_fraction,real_support_rel_l1,real_support_rmse,real_support_true_fraction,real_support_volume_ratio,relative_l1_modulus,relative_log_mse,voxel_mse,voxel_rmse
val_diff_000000,3.005476951599121,0.004847229924052954,0.9151002168655396,0.2610720694065094,110.15230560302734,0.005456979386508465,6.354400157928467,0.9975528717041016,0.0024471282958984375,0.8229589462280273,0.01124262623488903,0.007259057834744453,0.4101233184337616,0.08520016074180603,0.276729941368103,0.06388475000858307,0.276729941368103,0.3840804696083069,0.28273406624794006,0.6197422742843628,0.8022713661193848,0.6698272824287415,0.0148773193359375,0.0148773193359375,0.03748321533203125,0.3940190076828003,0.12197265774011612,0.03775787353515625,0.9927257895469666,0.25462472438812256,0.10080725699663162,26.590072631835938,5.156556129455566
val_diff_000001,3.0196876525878906,0.003913362976163626,0.9938337802886963,0.2495393455028534,127.53041076660156,0.010893006809055805,6.354400157928467,0.9981305003166199,0.001869499683380127,0.9941359758377075,0.0014269824605435133,0.0003071275423280895,0.04535107687115669,0.017525339499115944,0.046112846583127975,0.04219150170683861,0.046112846583127975,0.009542802348732948,0.1257011741399765,0.09768731892108917,0.9396952986717224,0.8862502574920654,0.0043487548828125,0.0043487548828125,0.03589630126953125,0.12007583677768707,0.06594516336917877,0.03621673583984375,0.991152286529541,0.22672471404075623,0.09211604297161102,29.54153823852539,5.4352126121521
val_diff_000002,4.088081359863281,0.024248508736491203,0.9382084012031555,0.38878652453422546,283.3905334472656,0.02995332144200802,6.354400157928467,0.9875719547271729,0.012428045272827148,0.7695661783218384,0.007582000456750393,0.004669116344302893,0.583785891532898,0.06833100318908691,0.46969932317733765,0.17418056726455688,0.46969932317733765,0.8737595677375793,0.36941078305244446,0.9347510933876038,0.7284626364707947,0.5728991031646729,0.009654998779296875,0.009654998779296875,0.018184661865234375,0.5557751655578613,0.09825990349054337,0.01737213134765625,1.0467721223831177,0.3724890947341919,0.12952521443367004,65.22852325439453,8.076417922973633
val_diff_000003,4.029625415802002,0.01081977691501379,0.9226436018943787,0.31870388984680176,240.22140502929688,0.016102038323879242,6.354400157928467,0.9944790005683899,0.005520999431610107,0.7693545818328857,0.012009754776954651,0.00917961448431015,0.5475595593452454,0.09581036120653152,0.36996957659721375,0.17851008474826813,0.36996957659721375,0.35831427574157715,0.5186029076576233,0.5985935926437378,0.7389397025108337,0.5859670042991638,0.013393402099609375,0.013393402099609375,0.026203155517578125,0.5335866212844849,0.1157299131155014,0.0251007080078125,1.0439209938049316,0.30560609698295593,0.10558884590864182,57.53570556640625,7.585229396820068
val_diff_000004,3.2994415760040283,0.017871761694550514,0.9475195407867432,0.3347439765930176,134.46397399902344,0.0258285254240036,6.354400157928467,0.9907471537590027,0.009252846240997314,0.6784281730651855,0.00607951870188117,0.004660218954086304,0.7355807423591614,0.0682658702135086,0.27458351850509644,0.16344837844371796,0.27458351850509644,0.14241936802864075,0.7740427851676941,0.3773849308490753,0.6301059126853943,0.45996686816215515,0.0074615478515625,0.0074615478515625,0.009952545166015625,0.7301231622695923,0.08638031035661697,0.010219573974609375,0.9738708734512329,0.31721335649490356,0.10774391889572144,33.53791046142578,5.791192531585693
val_diff_000005,3.5060079097747803,0.00876090582460165,0.9777088761329651,0.3173672556877136,183.12559509277344,0.009329105727374554,6.354400157928467,0.9956008195877075,0.0043991804122924805,0.9744704365730286,0.003351833438500762,0.0009629608830437064,0.13112270832061768,0.0310317724943161,0.15827907621860504,0.07022212445735931,0.15827907621860504,0.1496472805738449,0.17055535316467285,0.3868427276611328,0.9462709426879883,0.8980211615562439,0.00371551513671875,0.00371551513671875,0.03374481201171875,0.10493428260087967,0.06095510721206665,0.03540802001953125,0.9530273675918579,0.3083104193210602,0.12505286931991577,45.296207427978516,6.730245590209961
val_diff_000006,3.234947443008423,0.006626920774579048,0.9793692231178284,0.2642523944377899,126.39112854003906,0.009070631116628647,6.354400157928467,0.9966930150985718,0.0033069849014282227,0.9634584188461304,0.0029291699174791574,0.0013120005605742335,0.15095381438732147,0.036221686750650406,0.0736575722694397,0.06367611140012741,0.0736575722694397,0.01440464984625578,0.327872633934021,0.12001941353082657,0.9344664216041565,0.8769938945770264,0.0028533935546875,0.0028533935546875,0.021953582763671875,0.13217882812023163,0.05341725796461105,0.021587371826171875,1.016964077949524,0.2489544004201889,0.08799531310796738,31.977760314941406,5.654888153076172
val_diff_000007,3.6571621894836426,0.010731805115938187,0.9747732877731323,0.31332358717918396,206.833251953125,0.018632512539625168,6.354400157928467,0.9944788813591003,0.005521118640899658,0.9541968107223511,0.0032552103511989117,0.0015383850550279021,0.17169392108917236,0.03922237828373909,0.1301339566707611,0.08684494346380234,0.1301339566707611,0.06807926297187805,0.281673401594162,0.26092004776000977,0.9228716492652893,0.8567889928817749,0.003528594970703125,0.003528594970703125,0.0231170654296875,0.15590763092041016,0.059402063488960266,0.022632598876953125,1.0214056968688965,0.30017492175102234,0.10674721002578735,47.37492370605469,6.882944583892822
val_diff_000008,3.57418155670166,0.007383433636277914,0.9342284798622131,0.27566689252853394,162.32986450195312,0.00691998191177845,6.354400157928467,0.9962296485900879,0.0037703514099121094,0.8415491580963135,0.009035474620759487,0.006557813845574856,0.39785632491111755,0.08098039031028748,0.1465633064508438,0.058887872844934464,0.1465633064508438,0.07647688686847687,0.3679211437702179,0.27654457092285156,0.8048869371414185,0.673481822013855,0.010234832763671875,0.010234832763671875,0.026561737060546875,0.3952563405036926,0.10116740316152573,0.0258941650390625,1.0257807970046997,0.26808127760887146,0.0951753705739975,40.628089904785156,6.374016761779785
val_diff_000009,3.1991610527038574,0.004795082379132509,0.9925764799118042,0.253431111574173,134.95448303222656,0.007182068657130003,6.354400157928467,0.9975773692131042,0.002422630786895752,0.9922673106193542,0.0014541535638272762,0.0003991707053501159,0.04989556968212128,0.019979506731033325,0.04847578704357147,0.04332690313458443,0.04847578704357147,0.006202999036759138,0.18320150673389435,0.07875918596982956,0.9769458770751953,0.95493084192276,0.0015411376953125,0.0015411376953125,0.033519744873046875,0.046240128576755524,0.03925745561718941,0.033329010009765625,1.0057227611541748,0.2426261305809021,0.09876544773578644,33.778404235839844,5.811919212341309
