name,chi2_modulus,inference_ms,paper_modulus_mae,pearson_corr,pearson_loss,phase_wca,phase_wca_direct,phase_wca_inverted,real_amp_global_ssim,real_amp_l1,real_amp_mse,real_amp_rel_l1,real_amp_rmse,real_amp_ssim,real_phase_l1_true_support,real_phase_mae_intersection,real_phase_mae_true_support,real_phase_mse_true_support,real_phase_rel_l1_true_support,real_phase_rmse_true_support,real_support_dice,real_support_iou,real_support_l1,real_support_mse,real_support_pred_fraction,real_support_rel_l1,real_support_rmse,real_support_true_fraction,real_support_volume_ratio,relative_l1_modulus,relative_log_mse,twin_flip_selected,voxel_mse,voxel_rmse
val_diff_000000,7.204968636683254e-14,25.570308685302734,7.788828952470794e-06,1.0,0.0,0.672021746635437,0.672021746635437,0.9870041012763977,0.9374545216560364,0.0106376763433218,0.002105348976328969,0.38805514574050903,0.04588419198989868,0.8282452821731567,0.2240542769432068,0.21102316677570343,0.2240542769432068,0.16080863773822784,0.2289155125617981,0.40100952982902527,0.6239016056060791,0.4533844292163849,0.0440826416015625,0.0440826416015625,0.0794525146484375,1.167508602142334,0.20995868742465973,0.03775787353515625,2.1042635440826416,6.598714890060364e-07,3.4413873660488203e-12,0.0,3.952373706095358e-10,0.00010195704089710489
val_diff_000001,7.358348007519347e-14,25.570308685302734,9.188149306282867e-06,1.0,0.0,0.7251909971237183,0.9920503497123718,0.7251909971237183,0.3667144477367401,0.07825762033462524,0.02512497454881668,2.4871134757995605,0.15850862860679626,0.32209494709968567,2.363546133041382,2.397050142288208,2.363546133041382,6.484356880187988,6.442901611328125,2.5464401245117188,0.1796227991580963,0.09867339581251144,0.31594085693359375,0.31594085693359375,0.34889984130859375,8.723614692687988,0.5620861649513245,0.03621673583984375,9.633663177490234,6.898662263665756e-07,4.7083309473450186e-12,1.0,5.554734450186061e-10,0.00010273983207298443
val_diff_000002,8.991534594790171e-14,25.570308685302734,6.201305041031446e-06,1.0,0.0,0.9308475852012634,0.9308475852012634,0.9968810081481934,0.8439068794250488,0.009084527380764484,0.0026107332669198513,0.6994749307632446,0.05109543353319168,0.891187310218811,0.5194011926651001,0.4998188018798828,0.5194011926651001,0.38703739643096924,0.4085004925727844,0.6221233010292053,0.5436529517173767,0.3732990324497223,0.028812408447265625,0.028812408447265625,0.045764923095703125,1.6585419178009033,0.16974221169948578,0.01737213134765625,2.634387254714966,5.650372827403771e-07,1.8877252191962235e-12,0.0,2.4187241098871937e-10,0.00010120213846676052
val_diff_000003,7.176099043335396e-14,25.570308685302734,7.979911970323883e-06,1.0,0.0,0.8156185150146484,0.8156185150146484,0.9917015433311462,0.9119555950164795,0.010628820396959782,0.002797209657728672,0.4845988154411316,0.05288874730467796,0.8456352353096008,1.838927149772644,1.853997826576233,1.838927149772644,3.4650657176971436,2.5777058601379395,1.8614686727523804,0.5727297067642212,0.40127626061439514,0.036865234375,0.036865234375,0.06118011474609375,1.4686930179595947,0.1920032501220703,0.0251007080078125,2.4373860359191895,6.05195111802459e-07,3.1113269512855757e-12,0.0,3.815993077083135e-10,0.00010189013846684247
val_diff_000004,8.648815577562072e-14,25.570308685302734,5.642203177558258e-06,1.0,0.0,0.7594441175460815,0.9843992590904236,0.7594441175460815,0.8129055500030518,0.007385339122265577,0.0021304776892066,0.8935762047767639,0.04615720734000206,0.9001661539077759,0.7885048389434814,0.783042848110199,0.7885048389434814,0.7931346297264099,2.222771644592285,0.8905810713768005,0.42474889755249023,0.2696388363838196,0.027309417724609375,0.027309417724609375,0.03725433349609375,2.6722657680511475,0.16525563597679138,0.010219573974609375,3.645390033721924,5.424500386652653e-07,2.741265547889782e-12,1.0,1.6230251864701728e-10,0.00010080824722535908
val_diff_000005,8.654845096893807e-14,25.570308685302734,7.904252925072797e-06,1.0000001192092896,-1.1920928955078125e-07,0.7648459672927856,0.7648459672927856,0.9947130680084229,0.917548418045044,0.011885159648954868,0.002540137153118849,0.4649438261985779,0.05039987340569496,0.8452119827270508,1.0531120300292969,1.051947832107544,1.0531120300292969,1.1878926753997803,1.1347925662994385,1.0899049043655396,0.6189244389533997,0.4481467008590698,0.043277740478515625,0.043277740478515625,0.07815933227539062,1.2222580909729004,0.20803305506706238,0.03540802001953125,2.207390546798706,6.950821784812433e-07,4.1300986068637524e-12,0.0,4.4747844318848706e-10,0.00010221290722256526
val_diff_000006,7.831693057741215e-14,25.570308685302734,8.079387043835595e-06,1.0,0.0,0.6579267382621765,0.6579267382621765,0.9971778988838196,0.9141851663589478,0.010358579456806183,0.0020855991169810295,0.5338259935379028,0.04566847160458565,0.821516752243042,0.19857628643512726,0.19776733219623566,0.19857628643512726,0.1303977370262146,0.8839244246482849,0.361106276512146,0.48234790563583374,0.3178250789642334,0.04608917236328125,0.04608917236328125,0.06744766235351562,2.1350061893463135,0.2146839201450348,0.021587371826171875,3.124403715133667,6.21771732767229e-07,3.190099226446641e-12,0.0,3.7791306195522623e-10,0.000101872043160256
val_diff_000007,8.391830524749622e-14,25.570308685302734,7.618964446010068e-06,0.9999998807907104,1.1920928955078125e-07,0.7303087711334229,0.9858770966529846,0.7303087711334229,0.8915700316429138,0.010147364810109138,0.0031831995584070683,0.5352159738540649,0.056419938802719116,0.8934335112571716,0.2340894192457199,0.22447678446769714,0.2340894192457199,0.21028932929039001,0.5066837668418884,0.4585731625556946,0.6139520406723022,0.442951500415802,0.02799224853515625,0.02799224853515625,0.049877166748046875,1.2368110418319702,0.16730886697769165,0.022632598876953125,2.203775405883789,6.253542323975125e-07,3.806439104886428e-12,1.0,3.70452446496472e-10,0.0001018354159896262
val_diff_000008,7.598322605871857e-14,25.570308685302734,8.26197810965823e-06,0.9999998807907104,1.1920928955078125e-07,0.6640124917030334,0.6640124917030334,0.9944679141044617,0.932495653629303,0.009131207130849361,0.0023654892574995756,0.40207168459892273,0.04863639920949936,0.8816319108009338,0.7005205154418945,0.7072936296463013,0.7005205154418945,0.5497199296951294,1.7585320472717285,0.7414309978485107,0.6230013966560364,0.4524343013763428,0.03076171875,0.03076171875,0.05570220947265625,1.187978744506836,0.17539021372795105,0.0258941650390625,2.151149034500122,6.196892172738444e-07,3.411827461177741e-12,0.0,4.1810538364828176e-10,0.00010206911974819377
val_diff_000009,7.406624142128337e-14,25.570308685302734,8.996978067443706e-06,1.0000001192092896,-1.1920928955078125e-07,0.7637932300567627,0.7637932300567627,0.9899909496307373,0.9057969450950623,0.014843105338513851,0.003714343998581171,0.5093033313751221,0.06094549968838692,0.8051317930221558,0.2171166092157364,0.21405604481697083,0.2171166092157364,0.15506789088249207,0.8205352425575256,0.39378663897514343,0.5489016771316528,0.3782663643360138,0.0543670654296875,0.0543670654296875,0.08719253540039062,1.6312235593795776,0.23316748440265656,0.033329010009765625,2.6161153316497803,6.823357807661523e-07,4.46529965780762e-12,0.0,5.217510867794317e-10,0.00010257558460580185
